experiment,stage,data_type,layer,minimum,maximum,maximum_abs,smallest_nonzero,zero_percent,observed_min_spacing,dynamic_range,FP16_range_ok,FP16_result,FP8_E4M3_range_ok,FP8_E4M3_result,FP8_E5M2_range_ok,FP8_E5M2_result,INT8_scale,INT8_quantization_step,INT8_zero_threshold,INT8_smallest_may_be_lost,INT8_result,INT16_scale,INT16_quantization_step,INT16_zero_threshold,INT16_smallest_may_be_lost,INT16_result
LeNet5_MNIST,inference,activations,conv1,-1.1040208339691162,1.6056585311889648,1.6056585311889648,1.952052116394043e-06,0.0,1.862645149230957e-09,822549.0076335878,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.01264298056054303,0.01264298056054303,0.006321490280271515,True,SMALL VALUES MAY BE LOST,4.900230509930616e-05,4.900230509930616e-05,2.450115254965308e-05,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,conv2,-0.9452335834503174,0.8815861344337463,0.9452335834503174,9.55536961555481e-07,0.0,2.3283064365386963e-10,989217.1851851852,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007442784121656042,0.007442784121656042,0.003721392060828021,True,SMALL VALUES MAY BE LOST,2.8847120073559294e-05,2.8847120073559294e-05,1.4423560036779647e-05,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,fc1,-0.2896836102008819,0.3109519779682159,0.3109519779682159,1.043081283569336e-07,0.0,8.731149137020111e-11,2981090.571428571,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0024484407714032747,0.0024484407714032747,0.0012242203857016373,True,SMALL VALUES MAY BE LOST,9.489790886203067e-06,9.489790886203067e-06,4.744895443101534e-06,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,fc2,-0.1766100823879242,0.1749162375926971,0.1766100823879242,3.213062882423401e-07,0.0,4.656612873077393e-10,549662.7014492754,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.001390630569983655,0.001390630569983655,0.0006953152849918275,True,SMALL VALUES MAY BE LOST,5.3898764729125095e-06,5.3898764729125095e-06,2.6949382364562547e-06,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,fc3,-0.1052320003509521,0.1058825924992561,0.1058825924992561,1.8114224076271057e-07,0.0,4.656612873077393e-10,584527.3419023135,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0008337212007815441,0.0008337212007815441,0.00041686060039077205,True,SMALL VALUES MAY BE LOST,3.2313789025316966e-06,3.2313789025316966e-06,1.6156894512658483e-06,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,pool1,0.0,1.453417181968689,1.453417181968689,1.9818544387817383e-06,8.4662,4.656612873077393e-10,733362.2255639097,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.011444229779281015,0.011444229779281015,0.0057221148896405075,True,SMALL VALUES MAY BE LOST,4.435612604048857e-05,4.435612604048857e-05,2.2178063020244286e-05,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,pool2,0.0,0.7559208869934082,0.7559208869934082,3.948807716369629e-07,36.9224,5.820766091346741e-11,1914301.5849056605,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.005952132968452033,0.005952132968452033,0.0029760664842260164,True,SMALL VALUES MAY BE LOST,2.3069578752812533e-05,2.3069578752812533e-05,1.1534789376406266e-05,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,relu1,0.0,1.6021283864974976,1.6021283864974976,1.989305019378662e-06,15.9158,1.862645149230957e-09,805370.9063670412,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.012615184145649588,0.012615184145649588,0.006307592072824794,True,SMALL VALUES MAY BE LOST,4.8894570345087974e-05,4.8894570345087974e-05,2.4447285172543987e-05,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,relu2,0.0,0.879491925239563,0.879491925239563,2.682209014892578e-07,55.01859999999999,2.3283064365386963e-10,3278983.5555555555,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.006925133269602858,0.006925133269602858,0.003462566634801429,True,SMALL VALUES MAY BE LOST,2.6840782654486617e-05,2.6840782654486617e-05,1.3420391327243308e-05,True,SMALL VALUES MAY BE LOST
LeNet5_MNIST,inference,activations,relu3,0.0,0.2948959469795227,0.2948959469795227,1.043081283569336e-07,52.0432,4.656612873077393e-10,2827161.714285714,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.002322015330547423,0.002322015330547423,0.0011610076652737115,True,SMALL VALUES MAY BE LOST,8.99978475232773e-06,8.99978475232773e-06,4.499892376163865e-06,True,SMALL VALUES MAY BE LOST
