layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
features.0.0,-2.7160050868988037,2.620020627975464,1.2872786392392754e-08,0.0,3.4924596548080444e-10,2.7160050868988037
features.0.1,-3.0283384323120117,3.063305616378784,2.7896982146558e-07,0.0,4.656612873077393e-10,3.063305616378784
features.1.conv.0.0,-0.5074112415313721,0.4678136110305786,6.502999472246529e-09,23.464199999999998,1.4551915228366852e-11,0.5074112415313721
features.1.conv.0.1,-0.5270183086395264,0.48337575793266296,2.1519055426466593e-09,23.5292,1.4551915228366852e-11,0.5270183086395264
features.1.conv.1,-0.4574458599090576,0.4104757010936737,1.350588973991762e-07,0.0,1.1641532182693481e-10,0.4574458599090576
features.1.conv.2,-0.4766094982624054,0.49480363726615906,1.3416004307487128e-08,0.0,2.9103830456733704e-11,0.49480363726615906
features.2.conv.0.0,-0.41058123111724854,0.3927747905254364,2.0673329714782085e-08,0.0,8.003553375601768e-11,0.41058123111724854
features.2.conv.0.1,-0.4186534881591797,0.35479414463043213,7.689044956293856e-10,0.0,2.9103830456733704e-11,0.4186534881591797
features.2.conv.1.0,-0.05943265184760094,0.07884137332439423,8.097383874527964e-11,25.425399999999996,4.547473508864641e-13,0.07884137332439423
features.2.conv.1.1,-0.05975648760795593,0.07226710766553879,1.2294340545615512e-10,25.5692,1.1368683772161603e-13,0.07226710766553879
features.2.conv.2,-0.07562195509672165,0.060504913330078125,6.968145616070842e-09,0.0,7.275957614183426e-12,0.07562195509672165
features.2.conv.3,-0.08752922713756561,0.05847451463341713,2.038048307895224e-08,0.0,3.637978807091713e-12,0.08752922713756561
features.3.conv.0.0,-0.046795111149549484,0.05178912356495857,2.2000821164880335e-09,0.0,7.275957614183426e-12,0.05178912356495857
features.3.conv.0.1,-0.04756283760070801,0.049196138978004456,1.1063252536303025e-08,0.0,7.275957614183426e-12,0.049196138978004456
features.3.conv.1.0,-0.00796901062130928,0.005565251689404249,2.1596386137745505e-11,27.581,2.842170943040401e-14,0.00796901062130928
features.3.conv.1.1,-0.00806922372430563,0.005567282438278198,8.48988501028769e-12,27.6178,7.105427357601002e-14,0.00806922372430563
features.3.conv.2,-0.007607962470501661,0.007622254081070423,2.3051829334264085e-09,0.0,4.547473508864641e-13,0.007622254081070423
features.3.conv.3,-0.008502155542373657,0.007692075800150633,2.583288916113702e-09,0.0,9.094947017729282e-13,0.008502155542373657
features.4.conv.0.0,-0.04861535131931305,0.0534592941403389,1.0386331794620673e-08,0.0,1.8189894035458565e-12,0.0534592941403389
features.4.conv.0.1,-0.04893269017338753,0.04955719783902168,2.2294067036909837e-08,0.0,3.637978807091713e-12,0.04955719783902168
features.4.conv.1.0,-0.00782954040914774,0.008798728697001934,1.3713118141023273e-10,25.5238,2.842170943040401e-14,0.008798728697001934
features.4.conv.1.1,-0.007768142037093639,0.008608941920101643,2.0729513938722022e-10,25.646200000000004,2.842170943040401e-14,0.008608941920101643
features.4.conv.2,-0.006719239521771669,0.005793178919702768,1.9651935634357187e-09,0.0,3.410605131648481e-13,0.006719239521771669
features.4.conv.3,-0.008110465481877327,0.0059730419889092445,6.084582615528689e-09,0.0,1.8189894035458565e-12,0.008110465481877327
features.5.conv.0.0,-0.004454020410776138,0.004659411497414112,2.044284963531595e-09,0.0,3.410605131648481e-13,0.004659411497414112
features.5.conv.0.1,-0.0045037297531962395,0.004987472202628851,6.591382994969308e-10,0.0,2.2737367544323206e-13,0.004987472202628851
features.5.conv.1.0,-0.000488051533466205,0.0006463072495535016,2.212449407706929e-12,20.3818,1.4210854715202004e-14,0.0006463072495535016
features.5.conv.1.1,-0.00047492439625784755,0.0006912271492183208,2.2511641856182152e-11,20.4482,1.3322676295501878e-15,0.0006912271492183208
features.5.conv.2,-0.0006929148221388459,0.0006094858981668949,2.611817706554831e-10,0.0,5.684341886080802e-14,0.0006929148221388459
features.5.conv.3,-0.0007123848190531135,0.0006852075457572937,2.7771332455905906e-10,0.0,1.1368683772161603e-13,0.0007123848190531135
features.6.conv.0.0,-0.005640198476612568,0.003973388113081455,1.5388081919809338e-09,0.0,4.547473508864641e-13,0.005640198476612568
features.6.conv.0.1,-0.00495916185900569,0.0038173403590917587,5.699062333164306e-10,0.0,4.547473508864641e-13,0.00495916185900569
features.6.conv.1.0,-0.0005673885461874306,0.0004788892110809684,2.9737135063406805e-12,27.307199999999998,5.329070518200751e-15,0.0005673885461874306
features.6.conv.1.1,-0.0005560570280067623,0.0004897908074781299,6.567803158968877e-12,27.4298,1.3322676295501878e-14,0.0005560570280067623
features.6.conv.2,-0.000679339631460607,0.0005065486766397953,6.340990926778645e-11,0.0,1.1368683772161603e-13,0.000679339631460607
features.6.conv.3,-0.0006611632416024804,0.000522736634593457,1.0236705233479526e-10,0.0,2.842170943040401e-14,0.0006611632416024804
features.7.conv.0.0,-0.004520348273217678,0.004673715680837631,1.0128397009978585e-09,0.0,4.547473508864641e-13,0.004673715680837631
features.7.conv.0.1,-0.004171209875494242,0.004777255468070507,2.903099149964561e-10,0.0,1.7053025658242404e-13,0.004777255468070507
features.7.conv.1.0,-0.0004957577330060303,0.0005490562762133777,2.7533008425256744e-12,27.228400000000004,1.4210854715202004e-14,0.0005490562762133777
features.7.conv.1.1,-0.00042878466774709523,0.0005268294480629265,1.4936810469046158e-11,27.434399999999997,1.4210854715202004e-14,0.0005268294480629265
features.7.conv.2,-0.000322293839417398,0.0005494454526342452,4.7317549184411334e-11,0.0,2.842170943040401e-14,0.0005494454526342452
features.7.conv.3,-0.00032656078110449016,0.0005097686662338674,4.671976139292155e-10,0.0,2.1316282072803006e-14,0.0005097686662338674
features.8.conv.0.0,-0.00028929414111189544,0.00023163804144132882,9.830824349021938e-11,0.0,7.105427357601002e-15,0.00028929414111189544
features.8.conv.0.1,-0.0002765956742223352,0.000248731579631567,2.3359342238293834e-10,0.0,1.4210854715202004e-14,0.0002765956742223352
features.8.conv.1.0,-1.641708513488993e-05,1.4654020560556091e-05,1.0234537826600554e-12,25.431199999999997,2.7755575615628914e-16,1.641708513488993e-05
features.8.conv.1.1,-1.7404137906851247e-05,1.4361488865688443e-05,3.699994412416363e-13,25.561,3.3306690738754696e-16,1.7404137906851247e-05
features.8.conv.2,-1.955865263880696e-05,1.5602838175254874e-05,2.0623244865319856e-12,0.0,3.552713678800501e-15,1.955865263880696e-05
features.8.conv.3,-2.0729949028464034e-05,1.560275995871052e-05,1.5157050961556173e-11,0.0,1.7763568394002505e-15,2.0729949028464034e-05
features.9.conv.0.0,-0.00031684694113209844,0.0003271098539698869,1.9461576447610263e-11,0.0,2.842170943040401e-14,0.0003271098539698869
features.9.conv.0.1,-0.0003405477909836918,0.00033520717988722026,4.728545680010576e-12,0.0,5.684341886080802e-14,0.0003405477909836918
features.9.conv.1.0,-1.7334945368929766e-05,1.5349576642620377e-05,2.2231248756492995e-14,25.491999999999997,5.551115123125783e-17,1.7334945368929766e-05
features.9.conv.1.1,-1.7205544281750917e-05,1.7318210666417144e-05,7.920619997554834e-13,25.529600000000002,4.85722573273506e-17,1.7318210666417144e-05
features.9.conv.2,-2.4712531740078703e-05,1.7116079106926918e-05,5.375601439677746e-12,0.0,3.552713678800501e-15,2.4712531740078703e-05
features.9.conv.3,-2.471240804879926e-05,1.7981999917537905e-05,5.391920417097129e-12,0.0,1.7763568394002505e-15,2.471240804879926e-05
features.10.conv.0.0,-0.00036399654345586896,0.00034990758285857737,3.271764803525201e-11,0.0,5.684341886080802e-14,0.00036399654345586896
features.10.conv.0.1,-0.0003639947099145502,0.00032726911013014615,1.8608047394619298e-11,0.0,2.4868995751603507e-14,0.0003639947099145502
features.10.conv.1.0,-1.8365999494562857e-05,1.9697206880664453e-05,4.1879253699899505e-14,25.451400000000003,5.551115123125783e-17,1.9697206880664453e-05
features.10.conv.1.1,-1.935413274622988e-05,1.918665657285601e-05,5.711525545050444e-13,25.3986,2.498001805406602e-16,1.935413274622988e-05
features.10.conv.2,-2.0993247744627297e-05,1.6134059478645213e-05,4.721301474774897e-13,0.0,8.881784197001252e-16,2.0993247744627297e-05
features.10.conv.3,-2.027442133112345e-05,1.5449393686139956e-05,4.721277622327102e-13,0.0,6.661338147750939e-15,2.027442133112345e-05
features.11.conv.0.0,-0.00025001628091558814,0.0002907092566601932,1.963820599193422e-12,0.0,5.684341886080802e-14,0.0002907092566601932
features.11.conv.0.1,-0.00025588320568203926,0.00030225637601688504,8.091745329341649e-11,0.0,5.684341886080802e-14,0.00030225637601688504
features.11.conv.1.0,-1.6640144167467952e-05,1.799321034923196e-05,1.3099536646382637e-13,26.7652,2.220446049250313e-16,1.799321034923196e-05
features.11.conv.1.1,-1.605246143299155e-05,1.8017406546277925e-05,3.3702711845287614e-13,26.707399999999996,4.440892098500626e-16,1.8017406546277925e-05
features.11.conv.2,-1.5184365111053921e-05,1.3892349670641124e-05,3.424000232649105e-12,0.0,1.7763568394002505e-15,1.5184365111053921e-05
features.11.conv.3,-1.4433389878831804e-05,1.3947713341622148e-05,4.187203535288564e-12,0.0,8.881784197001252e-16,1.4433389878831804e-05
features.12.conv.0.0,-9.337260962638538e-06,1.0965514775307383e-05,5.218002679246991e-12,0.0,1.3322676295501878e-15,1.0965514775307383e-05
features.12.conv.0.1,-8.852686733007431e-06,9.871174370346125e-06,2.6093252992326343e-12,0.0,1.5543122344752192e-15,9.871174370346125e-06
features.12.conv.1.0,-5.090110448691121e-07,5.067288952886884e-07,2.021596425146304e-14,15.033199999999999,1.3877787807814457e-17,5.090110448691121e-07
features.12.conv.1.1,-4.677134199937427e-07,4.6364331751647114e-07,1.371230721607412e-14,15.032200000000001,1.3877787807814457e-17,4.677134199937427e-07
features.12.conv.2,-6.08657785505784e-07,6.073717599974771e-07,8.87405722364322e-14,0.0,5.551115123125783e-17,6.08657785505784e-07
features.12.conv.3,-5.635798743242049e-07,6.298242283264699e-07,5.96746908615095e-14,0.0,5.551115123125783e-17,6.298242283264699e-07
features.13.conv.0.0,-1.047488422045717e-05,9.842445251706522e-06,1.2407629177563217e-12,0.0,1.7208456881689926e-15,1.047488422045717e-05
features.13.conv.0.1,-9.80243657977553e-06,9.8551563496585e-06,1.7788579853919573e-12,0.0,1.7763568394002505e-15,9.8551563496585e-06
features.13.conv.1.0,-4.5306697415981034e-07,6.614968128815235e-07,5.3680065052036634e-15,15.2252,1.3010426069826053e-17,6.614968128815235e-07
features.13.conv.1.1,-4.131596824663575e-07,7.278765110640961e-07,2.086088412607415e-15,15.2818,1.3877787807814457e-17,7.278765110640961e-07
features.13.conv.2,-6.597707624678151e-07,5.254755706118885e-07,2.536370873257917e-14,0.0,1.1102230246251565e-16,6.597707624678151e-07
features.13.conv.3,-6.025335324011394e-07,5.276552883515251e-07,7.323584420111315e-14,0.0,5.551115123125783e-17,6.025335324011394e-07
features.14.conv.0.0,-1.0030293196905404e-05,1.2037991837132722e-05,6.810903837445315e-13,0.0,1.2212453270876722e-15,1.2037991837132722e-05
features.14.conv.0.1,-1.0403090527688619e-05,1.2391513337206561e-05,4.595856247652241e-12,0.0,8.881784197001252e-16,1.2391513337206561e-05
features.14.conv.1.0,-4.86375313357712e-07,5.984849167361972e-07,1.2197989336269408e-14,14.266000000000002,4.336808689942018e-18,5.984849167361972e-07
features.14.conv.1.1,-4.492208631745598e-07,5.942426923866151e-07,1.209977925416706e-14,14.3514,1.3877787807814457e-17,5.942426923866151e-07
features.14.conv.2,-5.834338026033947e-07,4.431620652667334e-07,1.2401042107264282e-13,0.0,5.551115123125783e-17,5.834338026033947e-07
features.14.conv.3,-5.819424586661626e-07,4.44520310338703e-07,2.5212991416889707e-13,0.0,5.551115123125783e-17,5.819424586661626e-07
features.15.conv.0.0,-2.9598669470942696e-07,2.8083505299036915e-07,1.3219583576678379e-13,0.0,5.551115123125783e-17,2.9598669470942696e-07
