layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
features.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.1.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.1.conv.2.bias,0.0,0.0,0,100.0,0,0.0
features.2.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.2.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.2.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.3.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.3.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.3.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.4.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.4.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.4.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.5.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.5.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.5.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.6.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.6.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.6.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.7.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.7.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.7.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.8.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.8.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.8.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.9.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.9.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.9.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.10.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.10.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.10.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.11.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.11.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.11.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.12.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.12.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.12.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.13.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.13.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.13.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.14.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.14.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.14.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.15.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.15.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.15.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.16.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.16.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.16.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.17.conv.0.1.bias,0.0,0.0,0,100.0,0,0.0
features.17.conv.1.1.bias,0.0,0.0,0,100.0,0,0.0
features.17.conv.3.bias,0.0,0.0,0,100.0,0,0.0
features.18.1.bias,0.0,0.0,0,100.0,0,0.0
classifier.1.bias,0.0,0.0,0,100.0,0,0.0
