layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
features.0.0.weight,-0.2594761848449707,0.26987239718437195,0.0001643678406253457,0.0,3.46451997756958e-07,0.26987239718437195
features.0.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.1.conv.0.0.weight,-0.21162103116512299,0.19075727462768555,5.542041253647767e-05,0.0,1.1106953024864197e-05,0.21162103116512299
features.1.conv.0.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.1.conv.1.weight,-1.3692911863327026,1.218154788017273,2.182818207074888e-05,0.0,6.556510925292969e-07,1.3692911863327026
features.1.conv.2.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.2.conv.0.0.weight,-0.43862637877464294,0.4863573908805847,2.44860457314644e-05,0.0,1.5832483768463135e-07,0.4863573908805847
features.2.conv.0.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.2.conv.1.0.weight,-0.17212842404842377,0.16277191042900085,9.304855666414369e-06,0.0,3.91155481338501e-08,0.17212842404842377
features.2.conv.1.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.2.conv.2.weight,-0.9951267838478088,0.9249810576438904,0.00011021560203516856,0.0,2.086162567138672e-07,0.9951267838478088
features.2.conv.3.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.3.conv.0.0.weight,-0.3757611811161041,0.43948015570640564,5.0292099331272766e-05,0.0,1.4901161193847656e-08,0.43948015570640564
features.3.conv.0.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.3.conv.1.0.weight,-0.11954604089260101,0.11519138514995575,8.205725862353574e-06,0.0,6.565824151039124e-08,0.11954604089260101
features.3.conv.1.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.3.conv.2.weight,-0.9528582692146301,1.1678385734558105,0.00014638470020145178,0.0,2.9802322387695312e-08,1.1678385734558105
features.3.conv.3.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.4.conv.0.0.weight,-0.438869446516037,0.4634110629558563,2.804888026730623e-06,0.0,2.9802322387695312e-08,0.4634110629558563
features.4.conv.0.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.4.conv.1.0.weight,-0.1354103833436966,0.1397349238395691,8.358942068298347e-06,0.0,8.009374141693115e-08,0.1397349238395691
features.4.conv.1.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.4.conv.2.weight,-1.15995192527771,0.8300068378448486,1.7679485608823597e-06,0.0,5.960464477539063e-08,1.15995192527771
features.4.conv.3.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.5.conv.0.0.weight,-0.3494040071964264,0.40509405732154846,2.1430108972708695e-05,0.0,2.2351741790771484e-08,0.40509405732154846
features.5.conv.0.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.5.conv.1.0.weight,-0.10920047760009766,0.11567153036594391,4.394061033963226e-05,0.0,1.4901161193847656e-08,0.11567153036594391
features.5.conv.1.1.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.5.conv.2.weight,-0.9430081844329834,0.9157354235649109,0.00015733652980998158,0.0,2.9802322387695312e-08,0.9430081844329834
features.5.conv.3.weight,1.0,1.0,1.0,0.0,0.0,1.0
features.6.conv.0.0.weight,-0.4242878258228302,0.39055490493774414,1.3548371498472989e-05,0.0,4.0978193283081055e-08,0.4242878258228302
