layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1,-26.524677276611328,26.37775993347168,3.32487189780295e-07,0.0,1.0550138540565968e-10,26.524677276611328
bn1,-9.574445724487305,9.478774070739746,7.078051567077637e-07,0.0,5.820766091346741e-11,9.574445724487305
relu,0.0,12.677424430847168,8.121132850646973e-07,59.1536,9.313225746154785e-10,12.677424430847168
maxpool,0.0,12.568499565124512,8.95187258720398e-06,33.4692,1.862645149230957e-09,12.568499565124512
layer1.0.conv1,-19.801286697387695,20.842479705810547,4.76837158203125e-07,0.0,1.862645149230957e-09,20.842479705810547
layer1.0.bn1,-3.6230688095092773,2.0724217891693115,2.2351741790771484e-07,0.0,9.313225746154785e-10,3.6230688095092773
layer1.0.relu,0.0,12.333938598632812,1.952052116394043e-06,25.6064,1.862645149230957e-09,12.333938598632812
layer1.0.conv2,-7.288670539855957,4.491722106933594,2.5546178221702576e-06,0.0,9.313225746154785e-10,7.288670539855957
layer1.0.bn2,-3.4904184341430664,2.773454427719116,1.0021030902862549e-06,0.0,2.3283064365386963e-10,3.4904184341430664
layer1.1.conv1,-16.636228561401367,22.935190200805664,4.753470420837402e-06,0.0,3.725290298461914e-09,22.935190200805664
layer1.1.bn1,-4.25575590133667,3.1628167629241943,2.384185791015625e-06,0.0,9.313225746154785e-10,4.25575590133667
layer1.1.relu,0.0,9.55449104309082,5.520880222320557e-06,28.7188,1.862645149230957e-09,9.55449104309082
layer1.1.conv2,-6.214778423309326,4.713409423828125,6.370246410369873e-07,0.0,9.313225746154785e-10,6.214778423309326
layer1.1.bn2,-4.356366157531738,2.8395462036132812,4.470348358154297e-07,0.0,1.862645149230957e-09,4.356366157531738
layer2.0.conv1,-18.125112533569336,13.943940162658691,1.1942941455345135e-05,0.0,3.725290298461914e-09,18.125112533569336
layer2.0.bn1,-3.91670298576355,3.495819568634033,8.046627044677734e-07,0.0,3.026798367500305e-09,3.91670298576355
layer2.0.relu,0.0,5.478549003601074,2.086162567138672e-06,66.8108,5.587935447692871e-09,5.478549003601074
layer2.0.conv2,-3.976264238357544,3.6352994441986084,5.960464477539063e-08,0.0,1.862645149230957e-09,3.976264238357544
layer2.0.bn2,-4.002163887023926,4.1610612869262695,5.960464477539063e-08,0.0,1.862645149230957e-09,4.1610612869262695
layer2.0.downsample.0,-6.913534641265869,6.747430801391602,9.221507752954494e-07,0.0,1.862645149230957e-09,6.913534641265869
layer2.0.downsample.1,-3.636579751968384,6.006889820098877,1.6093254089355469e-06,0.0,1.862645149230957e-09,6.006889820098877
layer2.1.conv1,-4.775749206542969,5.003350257873535,3.0100345611572266e-06,0.0,1.862645149230957e-09,5.003350257873535
layer2.1.bn1,-3.144754648208618,2.8849213123321533,2.980232238769531e-07,0.0,7.450580596923828e-09,3.144754648208618
layer2.1.relu,0.0,6.634978294372559,9.506940841674805e-06,71.7236,7.450580596923828e-09,6.634978294372559
layer2.1.conv2,-2.0704219341278076,1.6582095623016357,3.2782554626464844e-07,0.0,4.656612873077393e-10,2.0704219341278076
layer2.1.bn2,-3.9144577980041504,2.5467958450317383,5.662441253662109e-07,0.0,3.725290298461914e-09,3.9144577980041504
layer3.0.conv1,-5.631606578826904,7.336145877838135,4.172727585682878e-06,0.0,9.313225746154785e-10,7.336145877838135
layer3.0.bn1,-3.075946569442749,4.0236124992370605,3.5762786865234375e-07,0.0,3.725290298461914e-09,4.0236124992370605
layer3.0.relu,0.0,4.3217315673828125,4.740431904792786e-06,58.9792,4.656612873077393e-10,4.3217315673828125
layer3.0.conv2,-3.0086522102355957,3.4937384128570557,1.4971010386943817e-07,0.0,6.984919309616089e-10,3.4937384128570557
layer3.0.bn2,-2.7724082469940186,3.7684106826782227,6.332993507385254e-07,0.0,2.3283064365386963e-10,3.7684106826782227
layer3.0.downsample.0,-1.7649062871932983,2.6223649978637695,1.4743335441380623e-06,0.0,1.7462298274040222e-10,2.6223649978637695
layer3.0.downsample.1,-2.1191296577453613,2.6705498695373535,2.0489096641540527e-08,0.0,2.3283064365386963e-10,2.6705498695373535
