layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
bn1.bias,-0.314402312040329,0.5427839159965515,0.005285616032779217,0.0,0.00033267587423324585,0.5427839159965515
layer1.0.bn1.bias,-0.23229195177555084,0.5192533731460571,0.005541711114346981,0.0,0.0002340078353881836,0.5192533731460571
layer1.0.bn2.bias,-0.26601511240005493,0.4154716432094574,9.064743062481284e-05,0.0,0.0001589059829711914,0.4154716432094574
layer1.1.bn1.bias,-0.17091917991638184,0.26266196370124817,0.000737867143470794,0.0,6.887409836053848e-05,0.26266196370124817
layer1.1.bn2.bias,-0.21647211909294128,0.17455480992794037,0.0008937721140682697,0.0,0.00015272200107574463,0.21647211909294128
layer2.0.bn1.bias,-0.1565842181444168,0.1943107545375824,0.0005920669063925743,0.0,9.585171937942505e-06,0.1943107545375824
layer2.0.bn2.bias,-0.22765286266803741,0.21512195467948914,0.0007206465234048665,0.0,4.947185516357422e-06,0.22765286266803741
layer2.0.downsample.1.bias,-0.22765286266803741,0.21512195467948914,0.0007206465234048665,0.0,4.947185516357422e-06,0.22765286266803741
layer2.1.bn1.bias,-0.2764666676521301,0.09247211366891861,0.00013098277850076556,0.0,8.802860975265503e-06,0.2764666676521301
layer2.1.bn2.bias,-0.17902672290802002,0.07544063031673431,0.00011444881238276139,0.0,1.2539327144622803e-05,0.17902672290802002
layer3.0.bn1.bias,-0.17191073298454285,0.06286998838186264,0.00010191306500928476,0.0,1.8980354070663452e-06,0.17191073298454285
layer3.0.bn2.bias,-0.19827908277511597,0.08552190661430359,9.741078974911943e-05,0.0,1.562759280204773e-06,0.19827908277511597
layer3.0.downsample.1.bias,-0.19827908277511597,0.08552190661430359,9.741078974911943e-05,0.0,1.562759280204773e-06,0.19827908277511597
layer3.1.bn1.bias,-0.12764902412891388,0.05388990789651871,0.00014693918637931347,0.0,2.8852373361587524e-06,0.12764902412891388
layer3.1.bn2.bias,-0.10908220708370209,0.04206399247050285,0.0001514941395726055,0.0,1.257285475730896e-08,0.10908220708370209
layer4.0.bn1.bias,-0.10415763407945633,0.058844126760959625,2.1587587980320677e-05,0.0,4.246830940246582e-07,0.10415763407945633
layer4.0.bn2.bias,-0.3208199739456177,0.1293538361787796,0.0008415654301643372,0.0,2.1494925022125244e-06,0.3208199739456177
layer4.0.downsample.1.bias,-0.3208199739456177,0.1293538361787796,0.0008415654301643372,0.0,2.1494925022125244e-06,0.3208199739456177
layer4.1.bn1.bias,-0.12758329510688782,0.07688455283641815,0.00015868735499680042,0.0,1.4302786439657211e-06,0.12758329510688782
layer4.1.bn2.bias,-0.37572547793388367,0.03163038566708565,0.0029113939963281155,0.0,3.5762786865234375e-07,0.37572547793388367
fc.bias,-0.1327669769525528,0.189712256193161,0.004507848992943764,0.0,7.523596286773682e-05,0.189712256193161
