layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-0.009606858715415001,0.011039298959076405,1.562466422910802e-08,0.0,1.0459189070388675e-11,0.011039298959076405
bn1.weight,-0.015095257200300694,0.02927091345191002,3.293965710327029e-05,0.0,7.59027898311615e-07,0.02927091345191002
bn1.bias,-0.009670128114521503,0.006596376188099384,0.00011929229367524385,0.0,4.977919161319733e-07,0.009670128114521503
layer1.0.conv1.weight,-0.0037650675512850285,0.0029350342229008675,1.6201738617382944e-08,0.0,6.821210263296962e-13,0.0037650675512850285
layer1.0.bn1.weight,-0.00457213306799531,0.004110353998839855,3.831565845757723e-05,0.0,9.482027962803841e-07,0.00457213306799531
layer1.0.bn1.bias,-0.004585504066199064,0.00461092684417963,9.981318726204336e-06,0.0,7.217749953269958e-08,0.00461092684417963
layer1.0.conv2.weight,-0.0034774590749293566,0.003250338137149811,6.446498446166515e-09,0.0,1.8189894035458565e-12,0.0034774590749293566
layer1.0.bn2.weight,-0.025775184854865074,0.017656873911619186,0.00014000802184455097,0.0,6.834743544459343e-07,0.025775184854865074
layer1.0.bn2.bias,-0.009116481989622116,0.004402546212077141,3.867404302582145e-05,0.0,1.7085694707930088e-06,0.009116481989622116
layer1.1.conv1.weight,-0.006085080560296774,0.004641559440642595,3.0722731025889516e-09,0.0,3.637978807091713e-12,0.006085080560296774
layer1.1.bn1.weight,-0.0067033227533102036,0.004662010353058577,9.88674582913518e-06,0.0,7.036491297185421e-06,0.0067033227533102036
layer1.1.bn1.bias,-0.005161629058420658,0.004660965874791145,4.028930561617017e-06,0.0,3.14321368932724e-07,0.005161629058420658
layer1.1.conv2.weight,-0.004268264397978783,0.004091230686753988,1.3620592653751373e-08,0.0,7.275957614183426e-12,0.004268264397978783
layer1.1.bn2.weight,-0.01142642367631197,0.01737113855779171,3.55039956048131e-05,0.0,1.1076917871832848e-06,0.01737113855779171
layer1.1.bn2.bias,-0.004913748241961002,0.0049842409789562225,4.598542000167072e-05,0.0,2.3134052753448486e-06,0.0049842409789562225
layer2.0.conv1.weight,-0.007378072943538427,0.0059024877846241,7.668859325349331e-09,0.0,9.094947017729282e-13,0.007378072943538427
layer2.0.bn1.weight,-0.006430522538721561,0.01491120457649231,3.259629011154175e-07,0.0,2.5704503059387207e-07,0.01491120457649231
layer2.0.bn1.bias,-0.004593953490257263,0.008900554850697517,3.595225280150771e-06,0.0,1.1874362826347351e-08,0.008900554850697517
layer2.0.conv2.weight,-0.009783109650015831,0.010118778795003891,7.450580596923828e-09,0.0,9.094947017729282e-13,0.010118778795003891
layer2.0.bn2.weight,-0.01041325181722641,0.007853450253605843,6.411614594981074e-05,0.0,3.126915544271469e-07,0.01041325181722641
layer2.0.bn2.bias,-0.004010259639471769,0.006355640944093466,6.012123776599765e-06,0.0,2.3865140974521637e-08,0.006355640944093466
