layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1,-1.9894737005233765,2.12648868560791,0.0006281130481511354,0.0,5.5283308029174805e-06,2.12648868560791
bn1,-70.61990356445312,55.14099884033203,0.00030789512675255537,0.0,1.1920928955078125e-07,70.61990356445312
relu,0.0,9.045080184936523,8.349120616912842e-05,48.71333333333333,2.9802322387695312e-08,9.045080184936523
maxpool,0.0,8.975946426391602,4.820525646209717e-05,48.986666666666665,1.4901161193847656e-08,8.975946426391602
layer1.0.conv1,0.0,8.954647064208984,3.6954879760742188e-06,29.323333333333334,1.4901161193847656e-08,8.954647064208984
layer1.0.bn1,-58.81570816040039,59.195125579833984,0.00029337406158447266,0.0,2.384185791015625e-07,59.195125579833984
layer1.0.relu,0.0,10.875823974609375,3.860890865325928e-05,25.206666666666667,2.2351741790771484e-08,10.875823974609375
layer1.0.conv2,0.0,4.336313247680664,0.00014284253120422363,49.53,2.7939677238464355e-08,4.336313247680664
layer1.0.bn2,-37.085872650146484,24.615182876586914,4.062056541442871e-05,0.0,2.9802322387695312e-08,37.085872650146484
layer1.1.conv1,0.0,10.61821174621582,2.962350845336914e-05,24.776666666666667,2.9802322387695312e-08,10.61821174621582
layer1.1.bn1,-61.04420852661133,36.78178787231445,3.337860107421875e-05,0.0,2.384185791015625e-07,61.04420852661133
layer1.1.relu,0.0,10.950814247131348,4.429370164871216e-05,24.67,5.960464477539063e-08,10.950814247131348
layer1.1.conv2,0.0,4.329846382141113,2.70158052444458e-05,49.25333333333333,1.4901161193847656e-08,4.329846382141113
layer1.1.bn2,-24.781848907470703,19.571971893310547,2.7954578399658203e-05,0.0,5.960464477539063e-08,24.781848907470703
layer2.0.conv1,0.0,12.340744018554688,0.0002058017998933792,25.113333333333333,4.470348358154297e-08,12.340744018554688
layer2.0.bn1,-45.32981491088867,26.525854110717773,0.000393901951611042,0.0,1.1920928955078125e-07,45.32981491088867
layer2.0.relu,0.0,6.528958320617676,1.5422701835632324e-06,50.973333333333336,5.960464477539063e-08,6.528958320617676
layer2.0.conv2,0.0,3.762786626815796,6.765127182006836e-06,51.403333333333336,1.4901161193847656e-08,3.762786626815796
layer2.0.bn2,-19.92040252685547,16.252368927001953,0.0002913177013397217,0.0,5.960464477539063e-08,19.92040252685547
layer2.0.downsample.0,0.0,12.18067455291748,8.603930473327637e-05,24.963333333333335,5.960464477539063e-08,12.18067455291748
layer2.0.downsample.1,-13.072035789489746,8.462239265441895,0.00011446460848674178,0.0,2.9802322387695312e-08,13.072035789489746
layer2.1.conv1,0.0,6.76662015914917,6.765127182006836e-05,50.74333333333333,1.043081283569336e-07,6.76662015914917
layer2.1.bn1,-32.125831604003906,23.33982276916504,0.0004966557025909424,0.0,2.9802322387695312e-08,32.125831604003906
layer2.1.relu,0.0,9.738248825073242,5.3316354751586914e-05,33.32333333333333,2.9802322387695312e-08,9.738248825073242
layer2.1.conv2,0.0,4.6861443519592285,3.655068576335907e-05,49.696666666666665,1.4901161193847656e-08,4.6861443519592285
layer2.1.bn2,-20.04012680053711,18.41312599182129,0.00013356824638321996,0.0,1.4901161193847656e-08,20.04012680053711
layer3.0.conv1,0.0,11.107561111450195,0.00020058825612068176,33.163333333333334,2.2351741790771484e-08,11.107561111450195
layer3.0.bn1,-17.269052505493164,13.588000297546387,2.2249456378631294e-05,0.0,2.9802322387695312e-08,17.269052505493164
layer3.0.relu,0.0,6.733587265014648,6.914138793945312e-05,53.300000000000004,2.9802322387695312e-08,6.733587265014648
layer3.0.conv2,0.0,4.266758918762207,0.00016233697533607483,50.60666666666667,2.9802322387695312e-08,4.266758918762207
layer3.0.bn2,-10.340543746948242,12.966633796691895,8.350610733032227e-05,0.0,2.9802322387695312e-08,12.966633796691895
layer3.0.downsample.0,0.0,9.518457412719727,3.654602915048599e-05,33.42666666666666,2.9802322387695312e-08,9.518457412719727
layer3.0.downsample.1,-7.565003395080566,9.503905296325684,8.859895024215803e-05,0.0,2.9802322387695312e-08,9.503905296325684
layer3.1.conv1,0.0,6.733587265014648,2.208724617958069e-05,52.89,2.9802322387695312e-08,6.733587265014648
layer3.1.bn1,-17.90765953063965,14.95156478881836,9.69916582107544e-05,0.0,1.1920928955078125e-07,17.90765953063965
layer3.1.relu,0.0,10.763906478881836,1.136772334575653e-05,38.05,1.4901161193847656e-08,10.763906478881836
layer3.1.conv2,0.0,5.488958835601807,2.601661253720522e-05,55.376666666666665,7.450580596923828e-09,5.488958835601807
layer3.1.bn2,-19.940208435058594,18.646530151367188,6.365776062011719e-05,0.0,2.9802322387695312e-08,19.940208435058594
layer4.0.conv1,0.0,9.948795318603516,4.732981324195862e-06,37.56,1.4901161193847656e-08,9.948795318603516
layer4.0.bn1,-57.85478210449219,64.57913208007812,5.05666685057804e-05,0.0,2.9802322387695312e-08,64.57913208007812
layer4.0.relu,0.0,9.21572494506836,1.6391277313232422e-06,81.44333333333333,5.960464477539063e-08,9.21572494506836
layer4.0.conv2,0.0,3.6549060344696045,1.374911516904831e-05,49.46333333333333,7.450580596923828e-09,3.6549060344696045
layer4.0.bn2,-39.53633117675781,35.07817077636719,6.940215826034546e-06,0.0,7.450580596923828e-09,39.53633117675781
layer4.0.downsample.0,0.0,11.073461532592773,1.136772334575653e-05,37.95,7.450580596923828e-09,11.073461532592773
