layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-0.0039781928062438965,0.0014777928590774536,3.725290298461914e-09,0.0,2.0372681319713593e-10,0.0039781928062438965
bn1.weight,-0.001907646656036377,0.002221345901489258,2.0503997802734375e-05,0.0,1.9669532775878906e-06,0.002221345901489258
bn1.bias,-0.000896841287612915,0.0016283467411994934,9.875744581222534e-06,0.0,2.980232238769531e-07,0.0016283467411994934
layer1.0.conv1.weight,-0.0005949661135673523,0.0006991326808929443,1.862645149230957e-09,0.002712673611111111,1.4551915228366852e-11,0.0006991326808929443
layer1.0.bn1.weight,-0.0014594197273254395,0.0008025765419006348,1.0728836059570312e-06,0.0,5.960464477539063e-08,0.0014594197273254395
layer1.0.bn1.bias,-0.0012540221214294434,0.0005862116813659668,1.3656914234161377e-05,0.0,5.587935447692871e-09,0.0012540221214294434
layer1.0.conv2.weight,-0.0007613897323608398,0.0008072815835475922,7.450580596923828e-09,0.0,5.820766091346741e-11,0.0008072815835475922
layer1.0.bn2.weight,-0.0028657913208007812,0.0008711814880371094,3.3736228942871094e-05,0.0,2.384185791015625e-07,0.0028657913208007812
layer1.0.bn2.bias,-0.0010212715715169907,0.0019469857215881348,9.104609489440918e-06,0.0,2.384185791015625e-07,0.0019469857215881348
layer1.1.conv1.weight,-0.0008001755923032761,0.0007186233997344971,9.313225746154785e-10,0.002712673611111111,7.275957614183426e-12,0.0008001755923032761
layer1.1.bn1.weight,-0.0014170408248901367,0.00039702653884887695,1.1920928955078125e-07,0.0,5.364418029785156e-07,0.0014170408248901367
layer1.1.bn1.bias,-0.000667765736579895,0.0006825961172580719,5.174428224563599e-06,0.0,2.5704503059387207e-07,0.0006825961172580719
layer1.1.conv2.weight,-0.0008053481578826904,0.0007408633828163147,7.450580596923828e-09,0.002712673611111111,2.9103830456733704e-11,0.0008053481578826904
layer1.1.bn2.weight,-0.002061188220977783,0.0008981227874755859,3.6954879760742188e-06,0.0,1.7881393432617188e-07,0.002061188220977783
layer1.1.bn2.bias,-0.000982917845249176,0.001752430573105812,1.4569610357284546e-05,0.0,2.039596438407898e-07,0.001752430573105812
layer2.0.conv1.weight,-0.0013508349657058716,0.001056823879480362,1.862645149230957e-09,0.0,7.275957614183426e-12,0.0013508349657058716
layer2.0.bn1.weight,-0.0013697147369384766,0.0007288455963134766,3.522634506225586e-05,0.0,5.960464477539063e-08,0.0013697147369384766
layer2.0.bn1.bias,-0.0006566587835550308,0.0006844997406005859,7.16187059879303e-07,0.0,6.705522537231445e-08,0.0006844997406005859
layer2.0.conv2.weight,-0.001453310251235962,0.0013401061296463013,3.725290298461914e-09,0.002034505208333333,1.0913936421275139e-11,0.001453310251235962
layer2.0.bn2.weight,-0.0017344355583190918,0.0008974671363830566,2.7418136596679688e-06,0.0,5.960464477539063e-08,0.0017344355583190918
layer2.0.bn2.bias,-0.0007863342761993408,0.000991825945675373,3.768131136894226e-06,0.0,3.7439167499542236e-07,0.000991825945675373
layer2.0.downsample.0.weight,-0.004413694143295288,0.0035445094108581543,4.470348358154297e-08,0.0,8.731149137020111e-11,0.004413694143295288
layer2.0.downsample.1.weight,-0.0014060139656066895,0.0006879568099975586,3.993511199951172e-06,0.0,3.5762786865234375e-07,0.0014060139656066895
layer2.0.downsample.1.bias,-0.0007863342761993408,0.000991825945675373,3.768131136894226e-06,0.0,3.7439167499542236e-07,0.000991825945675373
layer2.1.conv1.weight,-0.0008935779333114624,0.0005983299924992025,9.313225746154785e-10,0.0013563368055555555,3.637978807091713e-12,0.0008935779333114624
layer2.1.bn1.weight,-0.000960230827331543,0.00015479326248168945,2.1576881408691406e-05,0.0,5.960464477539063e-08,0.000960230827331543
layer2.1.bn1.bias,-0.0006820112466812134,0.000701218843460083,9.082257747650146e-06,0.0,3.725290298461914e-09,0.000701218843460083
layer2.1.conv2.weight,-0.0009538754820823669,0.000802263617515564,4.656612873077393e-10,0.002034505208333333,7.275957614183426e-12,0.0009538754820823669
layer2.1.bn2.weight,-0.0013872981071472168,0.00030869245529174805,2.1278858184814453e-05,0.0,1.7881393432617188e-07,0.0013872981071472168
