layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-0.5313621163368225,0.5435239672660828,2.2316975446301512e-05,0.0,1.4901161193847656e-08,0.5435239672660828
bn1.weight,0.3267011344432831,1.983018159866333,0.3267011344432831,0.0,0.00042945146560668945,1.983018159866333
layer1.0.conv1.weight,-0.33505722880363464,0.309072881937027,2.6111738407053053e-06,0.0,6.984919309616089e-10,0.33505722880363464
layer1.0.bn1.weight,0.49627885222435,1.3544424772262573,0.49627885222435,0.0,0.00019866228103637695,1.3544424772262573
layer1.0.conv2.weight,-0.32632362842559814,0.3715415894985199,3.862547600874677e-06,0.0,6.984919309616089e-10,0.3715415894985199
layer1.0.bn2.weight,0.285559743642807,1.036519169807434,0.285559743642807,0.0,0.00032907724380493164,1.036519169807434
layer1.1.conv1.weight,-0.3579046130180359,0.27572116255760193,2.1351079340092838e-06,0.0,2.3283064365386963e-10,0.3579046130180359
layer1.1.bn1.weight,0.6336454153060913,1.0889685153961182,0.6336454153060913,0.0,9.298324584960938e-06,1.0889685153961182
layer1.1.conv2.weight,-0.2893955111503601,0.287113219499588,1.5852765500312671e-06,0.0,9.313225746154785e-10,0.2893955111503601
layer1.1.bn2.weight,0.4174581468105316,1.0032554864883423,0.4174581468105316,0.0,8.827447891235352e-05,1.0032554864883423
layer2.0.conv1.weight,-0.2427925169467926,0.23455029726028442,1.095009793061763e-06,0.0,4.656612873077393e-10,0.2427925169467926
layer2.0.bn1.weight,0.7053993940353394,1.0679295063018799,0.7053993940353394,0.0,5.9604644775390625e-06,1.0679295063018799
layer2.0.conv2.weight,-0.2084648311138153,0.20239336788654327,8.023016562219709e-07,0.0,2.3283064365386963e-10,0.2084648311138153
layer2.0.bn2.weight,0.6196120381355286,1.0475010871887207,0.6196120381355286,0.0,6.079673767089844e-06,1.0475010871887207
layer2.0.downsample.0.weight,-0.4923235774040222,0.40417930483818054,1.3943878002464771e-05,0.0,7.450580596923828e-09,0.4923235774040222
layer2.0.downsample.1.weight,0.6520953178405762,1.0945947170257568,0.6520953178405762,0.0,5.4836273193359375e-06,1.0945947170257568
layer2.1.conv1.weight,-0.18583975732326508,0.20432986319065094,1.449488991056569e-07,0.0,1.1641532182693481e-10,0.20432986319065094
layer2.1.bn1.weight,0.6391664147377014,1.0334223508834839,0.6391664147377014,0.0,2.2649765014648438e-06,1.0334223508834839
layer2.1.conv2.weight,-0.18945461511611938,0.18954895436763763,3.5404991649556905e-07,0.0,1.1641532182693481e-10,0.18954895436763763
layer2.1.bn2.weight,0.6605014801025391,0.9903431534767151,0.6605014801025391,0.0,3.2186508178710938e-06,0.9903431534767151
layer3.0.conv1.weight,-0.1380857229232788,0.1569707840681076,5.2914401749148965e-09,0.0,5.820766091346741e-11,0.1569707840681076
layer3.0.bn1.weight,0.7424824237823486,0.9276902675628662,0.7424824237823486,0.0,1.9669532775878906e-06,0.9276902675628662
layer3.0.conv2.weight,-0.1779148131608963,0.204355850815773,2.2966830215409573e-08,0.0,4.3655745685100555e-11,0.204355850815773
layer3.0.bn2.weight,0.7170489430427551,0.9971696138381958,0.7170489430427551,0.0,1.0728836059570312e-06,0.9971696138381958
layer3.0.downsample.0.weight,-0.3429955244064331,0.304020494222641,2.9293441912159324e-06,0.0,1.862645149230957e-09,0.3429955244064331
layer3.0.downsample.1.weight,0.7231502532958984,0.9639538526535034,0.7231502532958984,0.0,1.6093254089355469e-06,0.9639538526535034
layer3.1.conv1.weight,-0.11578859388828278,0.13730420172214508,7.435482984874398e-08,0.0,5.820766091346741e-11,0.13730420172214508
layer3.1.bn1.weight,0.7819530963897705,0.8741320371627808,0.7819530963897705,0.0,1.4901161193847656e-06,0.8741320371627808
layer3.1.conv2.weight,-0.13572533428668976,0.1407788097858429,2.49078766501043e-08,0.0,2.1827872842550278e-11,0.1407788097858429
layer3.1.bn2.weight,0.7688021659851074,0.9740264415740967,0.7688021659851074,0.0,3.2782554626464844e-06,0.9740264415740967
layer4.0.conv1.weight,-0.1258544623851776,0.14740677177906036,3.855620889225975e-08,0.0,1.4551915228366852e-11,0.14740677177906036
layer4.0.bn1.weight,0.7764080166816711,0.9337171316146851,0.7764080166816711,0.0,1.7881393432617188e-07,0.9337171316146851
layer4.0.conv2.weight,-0.21021141111850739,0.19699537754058838,2.0767553010614392e-08,0.0,3.637978807091713e-12,0.21021141111850739
layer4.0.bn2.weight,0.24775362014770508,0.9005802273750305,0.24775362014770508,0.0,1.3709068298339844e-06,0.9005802273750305
layer4.0.downsample.0.weight,-0.37709659337997437,0.3769102990627289,2.230481186416e-07,0.0,4.656612873077393e-10,0.37709659337997437
layer4.0.downsample.1.weight,0.18289147317409515,1.023053526878357,0.18289147317409515,0.0,8.940696716308594e-07,1.023053526878357
layer4.1.conv1.weight,-0.15554127097129822,0.19386477768421173,2.324285430788109e-09,8.477105034722222e-05,4.547473508864641e-12,0.19386477768421173
layer4.1.bn1.weight,0.774998664855957,0.9606654047966003,0.774998664855957,0.0,1.7881393432617188e-07,0.9606654047966003
layer4.1.conv2.weight,-0.15827535092830658,0.14036202430725098,6.43291953039693e-09,0.0,7.275957614183426e-12,0.15827535092830658
layer4.1.bn2.weight,0.20865944027900696,1.0858269929885864,0.20865944027900696,0.0,4.76837158203125e-07,1.0858269929885864
fc.weight,-0.45587658882141113,0.48866623640060425,1.061288912751479e-06,0.0,7.916241884231567e-09,0.48866623640060425
