data_type,stage,dynamic_range
activations,middle,45485499.35824176
activations,end,32804377.71689206
activations,beginning,24239498.75453048
biases,end,47859.623639328325
biases,middle,11133.708519569496
biases,beginning,4824.885215263826
gradients,beginning,335821779901.5054
gradients,end,136036976110.43198
gradients,middle,1533463699.261611
inputs,end,33832602.947368406
inputs,middle,10719178.927883124
inputs,beginning,5696700.530327429
updates,end,31600260159.884357
updates,middle,2180507944.920657
updates,beginning,1534191081.8067966
weights,end,2326133178.337503
weights,middle,153541105.29907975
weights,beginning,83408334.93005067
