layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1,-22.013185501098633,19.689157485961914,7.407788302771223e-07,0.0,2.3283064365386963e-09,22.013185501098633
bn1,-6.921585559844971,9.578756332397461,3.604404628276825e-05,0.0,9.313225746154785e-10,9.578756332397461
relu,0.0,7.527268409729004,3.430200740695e-05,58.95333333333333,2.9802322387695312e-08,7.527268409729004
maxpool,0.0,9.869804382324219,3.201887011528015e-05,33.54,2.9802322387695312e-08,9.869804382324219
layer1.0.conv1,-15.608606338500977,17.394166946411133,0.00016602873802185059,0.0,5.960464477539063e-08,17.394166946411133
layer1.0.bn1,-2.4364449977874756,1.465144395828247,2.736411988735199e-05,0.0,3.725290298461914e-09,2.4364449977874756
layer1.0.relu,0.0,9.398947715759277,0.00019178912043571472,25.833333333333336,1.4901161193847656e-08,9.398947715759277
layer1.0.conv2,-5.346343040466309,3.2537600994110107,1.4066696166992188e-05,0.0,7.450580596923828e-09,5.346343040466309
layer1.0.bn2,-2.3389370441436768,2.1138556003570557,7.450580596923828e-07,0.0,3.725290298461914e-09,2.3389370441436768
layer1.1.conv1,-13.724333763122559,18.2753849029541,3.46451997756958e-05,0.0,4.470348358154297e-08,18.2753849029541
layer1.1.bn1,-4.103977680206299,2.1370937824249268,7.37607479095459e-06,0.0,7.450580596923828e-09,4.103977680206299
layer1.1.relu,0.0,7.198395729064941,0.00014582276344299316,28.983333333333334,7.450580596923828e-09,7.198395729064941
layer1.1.conv2,-4.218687057495117,3.4334988594055176,1.2621283531188965e-05,0.0,7.450580596923828e-09,4.218687057495117
layer1.1.bn2,-2.452383041381836,1.4320567846298218,2.676248550415039e-05,0.0,1.862645149230957e-09,2.452383041381836
layer2.0.conv1,-12.66836929321289,10.302553176879883,1.7255099464819068e-06,0.0,1.4901161193847656e-08,12.66836929321289
layer2.0.bn1,-3.0549395084381104,2.883422374725342,2.8267502784729004e-05,0.0,1.4901161193847656e-08,3.0549395084381104
layer2.0.relu,0.0,4.02561616897583,0.0001267939805984497,66.61333333333333,2.9802322387695312e-08,4.02561616897583
layer2.0.conv2,-4.262959003448486,2.720214366912842,4.172325134277344e-07,0.0,1.4901161193847656e-08,4.262959003448486
layer2.0.bn2,-3.35174298286438,3.5419020652770996,1.4543533325195312e-05,0.0,1.4901161193847656e-08,3.5419020652770996
layer2.0.downsample.0,-6.0802001953125,4.907742023468018,0.00011470902973087505,0.0,2.9802322387695312e-08,6.0802001953125
layer2.0.downsample.1,-3.1454169750213623,3.6804075241088867,7.733702659606934e-06,0.0,1.4901161193847656e-08,3.6804075241088867
layer2.1.conv1,-4.915996074676514,6.6784820556640625,0.00010514259338378906,0.0,1.4901161193847656e-08,6.6784820556640625
layer2.1.bn1,-2.3397862911224365,2.4528493881225586,4.7266483306884766e-05,0.0,1.4901161193847656e-08,2.4528493881225586
layer2.1.relu,0.0,3.9933645725250244,3.680586814880371e-05,71.63666666666667,1.4901161193847656e-08,3.9933645725250244
layer2.1.conv2,-1.7152689695358276,0.8480415940284729,1.5536323189735413e-05,0.0,3.725290298461914e-09,1.7152689695358276
layer2.1.bn2,-2.282835006713867,1.4598788022994995,3.802776336669922e-05,0.0,7.450580596923828e-09,2.282835006713867
layer3.0.conv1,-4.238107681274414,4.266576290130615,3.377571556484327e-05,0.0,7.450580596923828e-09,4.266576290130615
layer3.0.bn1,-2.669951915740967,2.64522123336792,1.1265277862548828e-05,0.0,1.4901161193847656e-08,2.669951915740967
layer3.0.relu,0.0,3.1159417629241943,6.580725312232971e-05,59.519999999999996,7.450580596923828e-09,3.1159417629241943
layer3.0.conv2,-2.1969594955444336,2.3564751148223877,9.682029485702515e-06,0.0,3.725290298461914e-09,2.3564751148223877
layer3.0.bn2,-2.2198688983917236,3.13376522064209,3.986060619354248e-06,0.0,3.725290298461914e-09,3.13376522064209
layer3.0.downsample.0,-1.3158328533172607,1.789287805557251,2.267354375362629e-06,0.0,1.862645149230957e-09,1.789287805557251
layer3.0.downsample.1,-1.516493797302246,2.055938720703125,1.2848293408751488e-05,0.0,3.725290298461914e-09,2.055938720703125
layer3.1.conv1,-0.15630142390727997,0.19610410928726196,8.121132850646973e-07,0.0,9.313225746154785e-10,0.19610410928726196
layer3.1.bn1,-0.045772142708301544,0.04461618885397911,1.986045390367508e-07,0.0,1.1641532182693481e-10,0.045772142708301544
layer3.1.relu,0.0,2.8123767375946045,5.0961971282958984e-06,13.350000000000001,1.1641532182693481e-10,2.8123767375946045
layer3.1.conv2,-0.028883829712867737,0.0188184455037117,2.950400812551379e-09,0.0,3.637978807091713e-12,0.028883829712867737
layer3.1.bn2,-0.4533896744251251,0.10455075651407242,2.0228326320648193e-06,0.0,1.1641532182693481e-10,0.4533896744251251
layer4.0.conv1,-1.8519123792648315,2.4892663955688477,2.0274962935218355e-06,0.0,1.862645149230957e-09,2.4892663955688477
layer4.0.bn1,-0.6939899921417236,1.1508525609970093,4.23286110162735e-07,0.0,1.862645149230957e-09,1.1508525609970093
layer4.0.relu,0.0,3.1047043800354004,1.2034084647893906e-05,47.92,3.725290298461914e-09,3.1047043800354004
layer4.0.conv2,-0.5278685092926025,0.7828154563903809,2.3520642571384087e-06,0.0,9.313225746154785e-10,0.7828154563903809
layer4.0.bn2,-0.8339864611625671,1.7251591682434082,5.580484867095947e-06,0.0,9.313225746154785e-10,1.7251591682434082
layer4.0.downsample.0,-1.542667269706726,2.0494842529296875,9.287293778470485e-07,0.0,1.862645149230957e-09,2.0494842529296875
layer4.0.downsample.1,-1.480159878730774,2.067563772201538,2.0936131477355957e-06,0.0,1.862645149230957e-09,2.067563772201538
layer4.1.conv1,-0.06013098359107971,0.028531808406114578,4.4010812416672707e-07,0.0,2.3283064365386963e-10,0.06013098359107971
layer4.1.bn1,-0.02657400257885456,0.015062682330608368,2.1653249859809875e-07,0.0,5.820766091346741e-11,0.02657400257885456
layer4.1.relu,0.0,3.103550672531128,2.1977018604957266e-07,48.836666666666666,2.3646862246096134e-11,3.103550672531128
layer4.1.conv2,-0.0008167442865669727,0.0007022074423730373,2.489741746103391e-11,0.0,2.2737367544323206e-13,0.0008167442865669727
layer4.1.bn2,-0.07904133945703506,0.004073321353644133,7.90952299212222e-07,0.0,2.9103830456733704e-11,0.07904133945703506
avgpool,0.0,3.09649395942688,2.0605511963367462e-07,48.24,2.3646862246096134e-11,3.09649395942688
fc,-6.04594612121582,14.150959968566895,0.0021382421255111694,0.0,7.152557373046875e-07,14.150959968566895
