layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
bn1.bias,-0.4097844660282135,0.49149051308631897,0.0007060670759528875,0.0,0.00010577403008937836,0.49149051308631897
layer1.0.bn1.bias,-0.2680952250957489,0.36320769786834717,0.002748325001448393,0.0,8.359551429748535e-05,0.36320769786834717
layer1.0.bn2.bias,-0.3009473979473114,0.10254984349012375,0.001238186378031969,0.0,3.431737422943115e-05,0.3009473979473114
layer1.1.bn1.bias,-0.6483235955238342,0.12388845533132553,0.003265395760536194,0.0,6.105005741119385e-05,0.6483235955238342
layer1.1.bn2.bias,-0.5055671334266663,0.09862226992845535,0.0016464260406792164,0.0,4.9933791160583496e-05,0.5055671334266663
layer2.0.bn1.bias,-0.5484338402748108,0.0022177849896252155,0.0022177849896252155,0.0,6.717443466186523e-05,0.5484338402748108
layer2.0.bn2.bias,-0.340507835149765,-0.017092090100049973,0.017092090100049973,0.0,1.6391277313232422e-06,0.340507835149765
layer2.0.downsample.1.bias,-0.340507835149765,-0.017092090100049973,0.017092090100049973,0.0,1.6391277313232422e-06,0.340507835149765
layer2.1.bn1.bias,-0.48804450035095215,-0.09230946004390717,0.09230946004390717,0.0,1.7911195755004883e-05,0.48804450035095215
layer2.1.bn2.bias,-0.4558880925178528,-0.0764889046549797,0.0764889046549797,0.0,6.556510925292969e-06,0.4558880925178528
layer3.0.bn1.bias,-0.49162957072257996,-0.07431618869304657,0.07431618869304657,0.0,2.8312206268310547e-07,0.49162957072257996
layer3.0.bn2.bias,-0.15882812440395355,0.1399153172969818,0.00021866720635443926,0.0,6.556510925292969e-07,0.15882812440395355
layer3.0.downsample.1.bias,-0.15882812440395355,0.1399153172969818,0.00021866720635443926,0.0,6.556510925292969e-07,0.15882812440395355
layer3.1.bn1.bias,-0.02424616925418377,0.009066267870366573,2.0576437236741185e-05,0.0,2.8725480660796165e-08,0.02424616925418377
layer3.1.bn2.bias,-0.13110946118831635,0.02416185475885868,9.121352923102677e-05,0.0,1.2312084436416626e-06,0.13110946118831635
layer4.0.bn1.bias,-0.10882726311683655,0.10196451097726822,2.1642656065523624e-05,0.0,2.0116567611694336e-07,0.10882726311683655
layer4.0.bn2.bias,-0.05902334675192833,0.14296013116836548,0.00016164264525286853,0.0,1.2386590242385864e-07,0.14296013116836548
layer4.0.downsample.1.bias,-0.05902334675192833,0.14296013116836548,0.00016164264525286853,0.0,1.2386590242385864e-07,0.14296013116836548
layer4.1.bn1.bias,-0.003695422550663352,0.0016195031348615885,6.38538313069148e-06,0.0,4.627509042620659e-09,0.003695422550663352
layer4.1.bn2.bias,-0.07901564240455627,0.003885576967149973,1.6509875422343612e-06,0.0,2.421438694000244e-08,0.07901564240455627
fc.bias,-0.17626309394836426,0.19269436597824097,0.03530358523130417,0.0,0.011489450931549072,0.19269436597824097
