layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-0.0286865271627903,0.05903130769729614,4.790490493178368e-07,17.1875,2.3283064365386963e-10,0.05903130769729614
bn1.weight,-0.037962526082992554,0.033592164516448975,7.837265729904175e-05,17.1875,1.3830140233039856e-05,0.037962526082992554
bn1.bias,-0.021694375202059746,0.029232142493128777,2.0301900804042816e-05,17.1875,9.852461516857147e-06,0.029232142493128777
layer1.0.conv1.weight,-0.013463087379932404,0.01422181911766529,2.053639036603272e-09,17.1875,1.4551915228366852e-11,0.01422181911766529
layer1.0.bn1.weight,-0.030314143747091293,0.018745774403214455,7.545109838247299e-05,0.0,1.5692785382270813e-07,0.030314143747091293
layer1.0.bn1.bias,-0.0167861208319664,0.021593820303678513,3.5138451494276524e-05,0.0,7.12275505065918e-06,0.021593820303678513
layer1.0.conv2.weight,-0.010273602791130543,0.009146458469331264,3.896332145814085e-09,0.0,1.4551915228366852e-11,0.010273602791130543
layer1.0.bn2.weight,-0.05889931693673134,0.03820842504501343,7.141334936022758e-05,0.0,6.489455699920654e-06,0.05889931693673134
layer1.0.bn2.bias,-0.018640173599123955,0.01921188458800316,0.00020368676632642746,0.0,7.98795372247696e-06,0.01921188458800316
layer1.1.conv1.weight,-0.018118413165211678,0.012013661675155163,5.122274160385132e-09,0.0,2.9103830456733704e-11,0.018118413165211678
layer1.1.bn1.weight,-0.026348136365413666,0.02910836972296238,4.038820043206215e-05,0.0,1.6782432794570923e-06,0.02910836972296238
layer1.1.bn1.bias,-0.018381288275122643,0.036954183131456375,8.019385859370232e-05,0.0,4.600733518600464e-06,0.036954183131456375
layer1.1.conv2.weight,-0.014332334510982037,0.013435523957014084,2.8667272999882698e-08,0.0,1.4551915228366852e-11,0.014332334510982037
layer1.1.bn2.weight,-0.026986978948116302,0.050351593643426895,6.469269283115864e-05,0.0,2.937018871307373e-05,0.050351593643426895
layer1.1.bn2.bias,-0.015768777579069138,0.019320614635944366,4.1100895032286644e-05,0.0,1.2642703950405121e-05,0.019320614635944366
layer2.0.conv1.weight,-0.01865137554705143,0.02979031391441822,9.42964106798172e-09,0.0,1.4551915228366852e-11,0.02979031391441822
layer2.0.bn1.weight,-0.04374071955680847,0.046653296798467636,5.909428000450134e-05,0.0,2.896413207054138e-06,0.046653296798467636
layer2.0.bn1.bias,-0.03266847878694534,0.037531688809394836,8.75729601830244e-05,0.0,3.882218152284622e-06,0.037531688809394836
layer2.0.conv2.weight,-0.02069190703332424,0.017771758139133453,2.0838342607021332e-08,0.0,1.4551915228366852e-11,0.02069190703332424
layer2.0.bn2.weight,-0.03887620568275452,0.06884188950061798,0.00031993258744478226,0.0,2.2202730178833008e-06,0.06884188950061798
layer2.0.bn2.bias,-0.02557210437953472,0.032882221043109894,3.6267563700675964e-05,0.0,5.848705768585205e-07,0.032882221043109894
layer2.0.downsample.0.weight,-0.0328391008079052,0.025282002985477448,2.1788400772493333e-07,0.0,2.0372681319713593e-10,0.0328391008079052
layer2.0.downsample.1.weight,-0.05651830509305,0.03741690516471863,0.0007918733172118664,0.0,1.109391450881958e-05,0.05651830509305
layer2.0.downsample.1.bias,-0.02557210437953472,0.032882221043109894,3.6267563700675964e-05,0.0,5.848705768585205e-07,0.032882221043109894
layer2.1.conv1.weight,-0.015077577903866768,0.018619582056999207,4.483808879740536e-09,0.0,5.4569682106375694e-12,0.018619582056999207
layer2.1.bn1.weight,-0.03792748972773552,0.04461485147476196,5.647540092468262e-06,0.0,7.105991244316101e-07,0.04461485147476196
layer2.1.bn1.bias,-0.02216201275587082,0.02398739568889141,4.1302526369690895e-05,0.0,3.009103238582611e-06,0.02398739568889141
layer2.1.conv2.weight,-0.016188403591513634,0.017252542078495026,3.7161953514441848e-09,0.0,1.8189894035458565e-12,0.017252542078495026
layer2.1.bn2.weight,-0.03913888335227966,0.03720416501164436,3.646675031632185e-05,0.0,2.609565854072571e-06,0.03913888335227966
layer2.1.bn2.bias,-0.027408819645643234,0.030263680964708328,2.5685643777251244e-05,0.0,4.3692998588085175e-06,0.030263680964708328
layer3.0.conv1.weight,-0.02456802688539028,0.022542564198374748,1.178705133497715e-09,0.0,1.8189894035458565e-12,0.02456802688539028
layer3.0.bn1.weight,-0.04817905277013779,0.04513829946517944,1.710839569568634e-05,0.0,1.0058283805847168e-06,0.04817905277013779
layer3.0.bn1.bias,-0.03713449463248253,0.035394832491874695,5.270005203783512e-05,0.0,1.3206154108047485e-06,0.03713449463248253
layer3.0.conv2.weight,-0.01781962811946869,0.019286129623651505,3.9031533560773823e-10,0.0,1.1368683772161603e-13,0.019286129623651505
layer3.0.bn2.weight,-0.02197130210697651,0.01984633132815361,2.152996603399515e-05,0.0,9.109498932957649e-08,0.02197130210697651
layer3.0.bn2.bias,-0.02301955409348011,0.015632042661309242,5.745096132159233e-07,0.0,9.289942681789398e-08,0.02301955409348011
layer3.0.downsample.0.weight,-0.020230088382959366,0.01394748780876398,2.5644112611189485e-08,0.0,2.1827872842550278e-11,0.020230088382959366
layer3.0.downsample.1.weight,-0.017301717773079872,0.03000369668006897,2.8927010134793818e-05,0.0,8.612987585365772e-07,0.03000369668006897
layer3.0.downsample.1.bias,-0.02301955409348011,0.015632042661309242,5.745096132159233e-07,0.0,9.289942681789398e-08,0.02301955409348011
layer3.1.conv1.weight,-0.00032324864878319204,0.0003429263597354293,4.476419235288631e-13,17.1875,4.440892098500626e-16,0.0003429263597354293
layer3.1.bn1.weight,-0.0006378160323947668,0.000756189227104187,8.49984644446522e-06,17.1875,4.3655745685100555e-10,0.000756189227104187
layer3.1.bn1.bias,-0.0011329127009958029,0.001349294325336814,3.3869664548547007e-06,17.1875,1.5643308870494366e-08,0.001349294325336814
layer3.1.conv2.weight,-0.00048661904293112457,0.00055866246111691,4.1066956726779156e-15,24.52273898654514,5.204170427930421e-18,0.00055866246111691
layer3.1.bn2.weight,-0.0036869135219603777,0.012441974133253098,1.5095793060027063e-08,0.0,8.010829333215952e-09,0.012441974133253098
layer3.1.bn2.bias,-0.009949415922164917,0.004540189169347286,5.820766091346741e-11,0.78125,7.275957614183426e-12,0.009949415922164917
