layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1,-1.9894737005233765,2.12648868560791,0.0006281130481511354,0.0,5.5283308029174805e-06,2.12648868560791
bn1,-19.26459503173828,17.284982681274414,1.553500806039665e-05,0.0,3.725290298461914e-09,19.26459503173828
relu,0.0,6.606221675872803,3.2570213079452515e-05,59.21666666666666,1.4901161193847656e-08,6.606221675872803
maxpool,0.0,7.287583827972412,4.882737994194031e-05,59.10333333333333,2.2351741790771484e-08,7.287583827972412
layer1.0.conv1,0.0,9.578756332397461,2.8312206268310547e-07,33.800000000000004,2.2351741790771484e-08,9.578756332397461
layer1.0.bn1,-14.777427673339844,16.88880729675293,0.0001423656940460205,0.0,2.9802322387695312e-08,16.88880729675293
layer1.0.relu,0.0,8.668280601501465,9.506754577159882e-05,25.923333333333332,1.4901161193847656e-08,8.668280601501465
layer1.0.conv2,0.0,1.532469630241394,2.1531246602535248e-05,61.18,3.725290298461914e-09,1.532469630241394
layer1.0.bn2,-4.451166152954102,3.485670328140259,1.4727935194969177e-05,0.0,7.450580596923828e-09,4.451166152954102
layer1.1.conv1,0.0,9.19619083404541,1.2870877981185913e-06,25.633333333333336,2.2351741790771484e-08,9.19619083404541
layer1.1.bn1,-13.595719337463379,17.837501525878906,8.644163608551025e-05,0.0,5.960464477539063e-08,17.837501525878906
layer1.1.relu,0.0,7.3803324699401855,4.589557647705078e-06,28.860000000000003,7.450580596923828e-09,7.3803324699401855
layer1.1.conv2,0.0,2.5246336460113525,3.754347562789917e-05,65.53999999999999,3.725290298461914e-09,2.5246336460113525
layer1.1.bn2,-3.219003200531006,2.684788465499878,1.659989356994629e-05,0.0,7.450580596923828e-09,3.219003200531006
layer2.0.conv1,0.0,7.539323806762695,1.7404556274414062e-05,28.38,2.9802322387695312e-08,7.539323806762695
layer2.0.bn1,-13.53225326538086,9.547191619873047,1.981652712856885e-05,0.0,2.9802322387695312e-08,13.53225326538086
layer2.0.relu,0.0,4.498483657836914,5.8710575103759766e-06,66.93,2.9802322387695312e-08,4.498483657836914
layer2.0.conv2,0.0,2.883422374725342,2.8878450393676758e-05,70.45,1.4901161193847656e-08,2.883422374725342
layer2.0.bn2,-3.7390618324279785,3.2812986373901367,2.5898218154907227e-05,0.0,1.4901161193847656e-08,3.7390618324279785
layer2.0.downsample.0,0.0,6.639102935791016,4.589557647705078e-06,29.026666666666667,1.4901161193847656e-08,6.639102935791016
layer2.0.downsample.1,-5.315383434295654,5.601611614227295,0.00015578391321469098,0.0,2.9802322387695312e-08,5.601611614227295
layer2.1.conv1,0.0,4.498483657836914,0.00017368793487548828,66.70666666666666,2.9802322387695312e-08,4.498483657836914
layer2.1.bn1,-4.268942832946777,4.718306064605713,1.5497207641601562e-06,0.0,7.450580596923828e-09,4.718306064605713
layer2.1.relu,0.0,4.203037261962891,3.2670795917510986e-05,71.85000000000001,2.2351741790771484e-08,4.203037261962891
layer2.1.conv2,0.0,1.8530420064926147,3.038346767425537e-05,83.45333333333333,1.4901161193847656e-08,1.8530420064926147
layer2.1.bn2,-1.4311091899871826,1.0467207431793213,3.21120023727417e-06,0.0,3.725290298461914e-09,1.4311091899871826
layer3.0.conv1,0.0,5.007833003997803,5.3942203521728516e-06,71.84666666666666,1.4901161193847656e-08,5.007833003997803
layer3.0.bn1,-4.339450359344482,6.538298606872559,3.377571556484327e-05,0.0,7.450580596923828e-09,6.538298606872559
layer3.0.relu,0.0,2.446512222290039,3.516674041748047e-05,59.596666666666664,3.725290298461914e-09,2.446512222290039
layer3.0.conv2,0.0,2.64522123336792,1.481175422668457e-05,77.92,1.4901161193847656e-08,2.64522123336792
layer3.0.bn2,-2.165010929107666,2.697936534881592,1.1861324310302734e-05,0.0,3.725290298461914e-09,2.697936534881592
layer3.0.downsample.0,0.0,4.417606353759766,0.00011682510375976562,71.59666666666666,2.9802322387695312e-08,4.417606353759766
layer3.0.downsample.1,-1.3559424877166748,1.789287805557251,9.273531759390607e-06,0.0,1.862645149230957e-09,1.789287805557251
layer3.1.conv1,0.0,3.1159417629241943,5.248934030532837e-05,59.91333333333333,1.4901161193847656e-08,3.1159417629241943
layer3.1.bn1,-0.1837562620639801,0.19610410928726196,8.200295269489288e-07,0.0,4.656612873077393e-10,0.19610410928726196
layer3.1.relu,0.0,2.8123767375946045,5.0961971282958984e-06,12.86,1.1641532182693481e-10,2.8123767375946045
layer3.1.conv2,0.0,0.03690178319811821,1.595530193299055e-06,59.64666666666667,2.3283064365386963e-10,0.03690178319811821
layer3.1.bn2,-0.029015609994530678,0.017139676958322525,8.731149137020111e-09,0.0,2.9103830456733704e-11,0.029015609994530678
layer4.0.conv1,0.0,2.7099294662475586,2.817995846271515e-05,13.196666666666667,1.1641532182693481e-10,2.7099294662475586
layer4.0.bn1,-1.8323721885681152,2.4892663955688477,2.0274962935218355e-06,0.0,3.725290298461914e-09,2.4892663955688477
layer4.0.relu,0.0,3.1047043800354004,1.3208016753196716e-05,47.699999999999996,7.450580596923828e-09,3.1047043800354004
layer4.0.conv2,0.0,1.2891769409179688,6.038229912519455e-06,46.01,1.862645149230957e-09,1.2891769409179688
layer4.0.bn2,-0.5742356181144714,0.8737102746963501,1.6623380361124873e-06,0.0,6.984919309616089e-10,0.8737102746963501
layer4.0.downsample.0,0.0,3.118558883666992,2.822279930114746e-05,13.226666666666667,2.3283064365386963e-10,3.118558883666992
layer4.0.downsample.1,-1.542667269706726,1.6812494993209839,3.6810109804719104e-07,0.0,3.4924596548080444e-10,1.6812494993209839
layer4.1.conv1,0.0,2.8824191093444824,3.0476367101073265e-06,48.04333333333333,1.862645149230957e-09,2.8824191093444824
layer4.1.bn1,-0.0638284981250763,0.028908416628837585,4.4010812416672707e-07,0.0,2.3283064365386963e-10,0.0638284981250763
layer4.1.relu,0.0,3.09649395942688,2.1977018604957266e-07,48.42,2.9103830456733704e-11,3.09649395942688
layer4.1.conv2,0.0,0.013225654140114784,2.8309295885264874e-07,70.73,5.820766091346741e-11,0.013225654140114784
layer4.1.bn2,-0.0007364513585343957,0.0007581593818031251,6.079972081352025e-10,0.0,4.547473508864641e-13,0.0007581593818031251
avgpool,0.0,3.103550672531128,2.1977018604957266e-07,48.46666666666667,8.731149137020111e-11,3.103550672531128
fc,0.0,2.7580952644348145,2.0605511963367462e-07,48.51,5.820766091346741e-11,2.7580952644348145
