layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-0.00791957974433899,0.0056800805032253265,7.146638836275088e-11,0.0,1.8189894035458565e-12,0.00791957974433899
bn1.weight,-0.009363770484924316,0.00802469253540039,3.14757926389575e-08,0.0,1.5133991837501526e-09,0.009363770484924316
bn1.bias,-0.004428014159202576,0.005090966820716858,6.93020410835743e-07,0.0,5.3085386753082275e-08,0.005090966820716858
layer1.0.conv1.weight,-0.002308811992406845,0.0015066787600517273,1.530864324195136e-11,0.0,9.094947017729282e-13,0.002308811992406845
layer1.0.bn1.weight,-0.0033056437969207764,0.00301477313041687,2.491474151611328e-05,0.0,6.854534149169922e-07,0.0033056437969207764
layer1.0.bn1.bias,-0.003021523356437683,0.002264752984046936,5.1244162023067474e-05,0.0,1.1138617992401123e-06,0.003021523356437683
layer1.0.conv2.weight,-0.001317933201789856,0.00170028954744339,1.3969838619232178e-09,0.0,1.4551915228366852e-11,0.00170028954744339
layer1.0.bn2.weight,-0.00992044061422348,0.010962575674057007,1.5497207641601562e-05,0.0,7.666647434234619e-06,0.010962575674057007
layer1.0.bn2.bias,-0.0055612921714782715,0.0044374968856573105,5.140900611877441e-06,0.0,7.264316082000732e-07,0.0055612921714782715
layer1.1.conv1.weight,-0.0029518380761146545,0.0020344816148281097,7.450580596923828e-09,0.0,2.1827872842550278e-11,0.0029518380761146545
layer1.1.bn1.weight,-0.009352117776870728,0.008394837379455566,6.717443466186523e-05,0.0,8.478760719299316e-06,0.009352117776870728
layer1.1.bn1.bias,-0.005621105432510376,0.004461705684661865,3.975629806518555e-05,0.0,2.8312206268310547e-07,0.005621105432510376
layer1.1.conv2.weight,-0.0025850459933280945,0.0018615424633026123,3.725290298461914e-09,0.0,4.3655745685100555e-11,0.0025850459933280945
layer1.1.bn2.weight,-0.0070033445954322815,0.006107384338974953,1.5832483768463135e-05,0.0,2.60770320892334e-06,0.0070033445954322815
layer1.1.bn2.bias,-0.00461229681968689,0.003439374268054962,5.505979061126709e-06,0.0,1.043081283569336e-07,0.00461229681968689
