layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-1.037628173828125,0.9103665947914124,1.422087336777622e-07,0.0,6.548361852765083e-10,1.037628173828125
bn1.weight,-6.263624527491629e-05,1.3150829076766968,6.263624527491629e-05,0.0,2.891523763537407e-06,1.3150829076766968
layer1.0.conv1.weight,-0.28156012296676636,0.22568753361701965,3.0466303257981053e-08,0.0,7.275957614183426e-12,0.28156012296676636
layer1.0.bn1.weight,0.04531468078494072,0.47841429710388184,0.04531468078494072,0.0,4.121661186218262e-05,0.47841429710388184
layer1.0.conv2.weight,-0.2465009242296219,0.1773475706577301,2.9698458092752844e-07,0.0,1.7462298274040222e-10,0.2465009242296219
layer1.0.bn2.weight,-0.3009915053844452,0.5136190056800842,0.04107547551393509,0.0,8.64565372467041e-05,0.5136190056800842
layer1.1.conv1.weight,-0.3554008901119232,0.45971861481666565,4.2257124732714146e-07,0.0,2.3283064365386963e-10,0.45971861481666565
layer1.1.bn1.weight,0.11263468116521835,0.6032508611679077,0.11263468116521835,0.0,3.090500831604004e-05,0.6032508611679077
layer1.1.conv2.weight,-0.3425581455230713,0.2404310405254364,5.301699275150895e-07,0.0,6.984919309616089e-10,0.3425581455230713
layer1.1.bn2.weight,-0.14317865669727325,0.47449445724487305,0.0010933135636150837,0.0,3.8042664527893066e-05,0.47449445724487305
layer2.0.conv1.weight,-0.37442344427108765,0.5364503860473633,1.322896423516795e-07,0.0,4.656612873077393e-10,0.5364503860473633
layer2.0.bn1.weight,0.2329431027173996,0.7015812397003174,0.2329431027173996,0.0,3.904104232788086e-06,0.7015812397003174
layer2.0.conv2.weight,-0.2730034291744232,0.4597834646701813,4.9709342420101166e-08,0.0,1.1641532182693481e-10,0.4597834646701813
layer2.0.bn2.weight,0.2148648351430893,0.7626930475234985,0.2148648351430893,0.0,7.808208465576172e-06,0.7626930475234985
layer2.0.downsample.0.weight,-0.4656069576740265,0.7109556198120117,6.673316966043785e-05,0.0,7.450580596923828e-09,0.7109556198120117
layer2.0.downsample.1.weight,0.09610426425933838,0.7628185153007507,0.09610426425933838,0.0,3.3974647521972656e-06,0.7628185153007507
layer2.1.conv1.weight,-0.17822544276714325,0.32765281200408936,5.48316165804863e-08,0.0,5.820766091346741e-11,0.32765281200408936
layer2.1.bn1.weight,0.11973058432340622,0.5149416327476501,0.11973058432340622,0.0,8.255243301391602e-06,0.5149416327476501
layer2.1.conv2.weight,-0.1879166066646576,0.2903478741645813,2.3862594389356673e-07,0.0,1.0913936421275139e-11,0.2903478741645813
layer2.1.bn2.weight,-0.008985865861177444,0.4575987756252289,0.008985865861177444,0.0,2.6106834411621094e-05,0.4575987756252289
layer3.0.conv1.weight,-0.21100187301635742,0.3502865135669708,5.0960807129740715e-08,0.0,1.1641532182693481e-10,0.3502865135669708
layer3.0.bn1.weight,0.17421357333660126,0.5848353505134583,0.17421357333660126,0.0,1.6689300537109375e-06,0.5848353505134583
layer3.0.conv2.weight,-0.2031756490468979,0.24963350594043732,1.4266333892010152e-08,0.0,1.4551915228366852e-11,0.24963350594043732
layer3.0.bn2.weight,0.050891052931547165,0.3899572789669037,0.050891052931547165,0.0,5.692243576049805e-06,0.3899572789669037
layer3.0.downsample.0.weight,-0.2468661516904831,0.24002520740032196,1.3492826838046312e-06,0.0,2.0372681319713593e-10,0.2468661516904831
layer3.0.downsample.1.weight,-0.07187620550394058,0.363884299993515,0.001273425412364304,0.0,1.0889023542404175e-05,0.363884299993515
layer3.1.conv1.weight,-0.008577928878366947,0.012769443914294243,6.318714440567419e-10,0.0,3.979039320256561e-13,0.012769443914294243
layer3.1.bn1.weight,-0.0008503065910190344,0.011879736557602882,0.00013303679588716477,0.0,1.7741695046424866e-07,0.011879736557602882
layer3.1.conv2.weight,-0.016390517354011536,0.009716798551380634,2.6429347599332687e-10,0.0,2.2737367544323206e-13,0.016390517354011536
layer3.1.bn2.weight,-0.005578330717980862,0.12037252634763718,5.8194927987642586e-08,0.0,1.3278622645884752e-07,0.12037252634763718
layer4.0.conv1.weight,-0.09791389852762222,0.13781721889972687,3.38278183242835e-10,0.0,1.1368683772161603e-13,0.13781721889972687
layer4.0.bn1.weight,0.0068556442856788635,0.25736910104751587,0.0068556442856788635,0.0,6.258487701416016e-07,0.25736910104751587
layer4.0.conv2.weight,-0.08424810320138931,0.16217300295829773,6.971784954901139e-11,0.0,4.618527782440651e-14,0.16217300295829773
layer4.0.bn2.weight,0.0019130177097395062,0.5339034795761108,0.0019130177097395062,0.0,2.3655593395233154e-07,0.5339034795761108
layer4.0.downsample.0.weight,-0.1540061980485916,0.2535402774810791,2.1784671844216064e-08,0.0,2.9103830456733704e-11,0.2535402774810791
layer4.0.downsample.1.weight,-0.003185220528393984,0.545063853263855,0.0007931526051834226,0.0,5.960464477539063e-08,0.545063853263855
layer4.1.conv1.weight,-0.0028411897365003824,0.0021746489219367504,7.802779256049774e-12,8.477105034722222e-05,2.842170943040401e-14,0.0028411897365003824
layer4.1.bn1.weight,0.0006677386118099093,0.007859860546886921,0.0006677386118099093,0.0,2.8172507882118225e-08,0.007859860546886921
layer4.1.conv2.weight,-0.0031581372022628784,0.004068962298333645,2.1595829291509716e-11,0.0,1.4210854715202004e-14,0.004068962298333645
layer4.1.bn2.weight,-0.0026568290777504444,0.019014716148376465,4.862313289777376e-07,0.0,3.4924596548080444e-10,0.019014716148376465
fc.weight,-0.38744160532951355,0.47782549262046814,1.9729555788217112e-05,0.0,3.725290298461914e-09,0.47782549262046814
