layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1,-20.318883895874023,18.095075607299805,6.216890324139968e-05,0.0,3.725290298461914e-09,20.318883895874023
bn1,-9.466864585876465,6.814687728881836,2.2448599338531494e-05,0.0,3.725290298461914e-09,9.466864585876465
relu,0.0,7.014533996582031,1.835078001022339e-05,55.61333333333334,7.450580596923828e-09,7.014533996582031
maxpool,0.0,8.671483993530273,4.038959741592407e-05,31.009999999999998,1.1175870895385742e-08,8.671483993530273
layer1.0.conv1,-16.01943588256836,11.960480690002441,2.750009298324585e-05,0.0,5.960464477539063e-08,16.01943588256836
layer1.0.bn1,-2.1330535411834717,1.4635682106018066,7.316470146179199e-06,0.0,3.725290298461914e-09,2.1330535411834717
layer1.0.relu,0.0,7.757513523101807,3.975629806518555e-05,26.19666666666667,1.1175870895385742e-08,7.757513523101807
layer1.0.conv2,-2.7861201763153076,2.6879208087921143,2.436339855194092e-06,0.0,1.862645149230957e-09,2.7861201763153076
layer1.0.bn2,-1.7478082180023193,2.563434362411499,6.362795829772949e-06,0.0,7.450580596923828e-09,2.563434362411499
layer1.1.conv1,-17.692380905151367,12.842119216918945,6.54757022857666e-05,0.0,2.9802322387695312e-08,17.692380905151367
layer1.1.bn1,-2.7877883911132812,2.4739296436309814,2.171844244003296e-06,0.0,7.450580596923828e-09,2.7877883911132812
layer1.1.relu,0.0,8.063846588134766,6.40377402305603e-06,28.813333333333336,7.450580596923828e-09,8.063846588134766
layer1.1.conv2,-3.810009479522705,2.011819362640381,6.0051679611206055e-06,0.0,7.450580596923828e-09,3.810009479522705
layer1.1.bn2,-1.6756172180175781,1.4947344064712524,2.4884939193725586e-06,0.0,3.725290298461914e-09,1.6756172180175781
layer2.0.conv1,-13.595049858093262,9.898994445800781,6.277133797993883e-05,0.0,2.9802322387695312e-08,13.595049858093262
layer2.0.bn1,-4.9143829345703125,2.698030471801758,8.642673492431641e-07,0.0,1.4901161193847656e-08,4.9143829345703125
layer2.0.relu,0.0,3.5589590072631836,4.4055283069610596e-05,65.26666666666667,1.4901161193847656e-08,3.5589590072631836
layer2.0.conv2,-3.061277389526367,3.29097843170166,3.590155392885208e-05,0.0,1.4901161193847656e-08,3.29097843170166
layer2.0.bn2,-3.047600507736206,2.9246878623962402,1.7136335372924805e-06,0.0,1.4901161193847656e-08,3.047600507736206
layer2.0.downsample.0,-5.851286888122559,4.619292736053467,9.09506889001932e-06,0.0,1.4901161193847656e-08,5.851286888122559
