layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
bn1.bias,-0.28080233931541443,0.6337610483169556,5.6922726798802614e-05,0.0,0.00030438415706157684,0.6337610483169556
layer1.0.bn1.bias,-0.21411432325839996,0.1597302109003067,0.0011676839785650373,0.0,4.043057560920715e-05,0.21411432325839996
layer1.0.bn2.bias,-0.3070763051509857,0.09090887755155563,0.006243509240448475,0.0,0.00013405457139015198,0.3070763051509857
layer1.1.bn1.bias,-0.5388943552970886,0.05564207211136818,0.004973043687641621,0.0,1.7780810594558716e-05,0.5388943552970886
layer1.1.bn2.bias,-0.42045775055885315,0.11001548916101456,0.003574762027710676,0.0,6.025843322277069e-05,0.42045775055885315
layer2.0.bn1.bias,-0.4684235453605652,-0.0007535273325629532,0.0007535273325629532,0.0,4.868209362030029e-05,0.4684235453605652
layer2.0.bn2.bias,-0.2831019163131714,0.029091469943523407,0.01132288109511137,0.0,3.0294060707092285e-05,0.2831019163131714
layer2.0.downsample.1.bias,-0.2831019163131714,0.029091469943523407,0.01132288109511137,0.0,3.0294060707092285e-05,0.2831019163131714
layer2.1.bn1.bias,-0.4079388678073883,-0.026164578273892403,0.026164578273892403,0.0,7.525086402893066e-06,0.4079388678073883
layer2.1.bn2.bias,-0.37581291794776917,-0.03546902909874916,0.03546902909874916,0.0,1.1682510375976562e-05,0.37581291794776917
layer3.0.bn1.bias,-0.4326530992984772,-0.05048501119017601,0.05048501119017601,0.0,1.3470649719238281e-05,0.4326530992984772
layer3.0.bn2.bias,-0.1507873833179474,0.2000817507505417,7.40348914405331e-05,0.0,3.725290298461914e-07,0.2000817507505417
layer3.0.downsample.1.bias,-0.1507873833179474,0.2000817507505417,7.40348914405331e-05,0.0,3.725290298461914e-07,0.2000817507505417
layer3.1.bn1.bias,-0.049848876893520355,0.03160637989640236,0.0004049725830554962,0.0,2.7939677238464355e-09,0.049848876893520355
layer3.1.bn2.bias,-0.07707110047340393,0.057763878256082535,9.961880277842283e-05,0.0,1.9632279872894287e-06,0.07707110047340393
layer4.0.bn1.bias,-0.08965230733156204,0.10211027413606644,0.00019391271052882075,0.0,8.195638656616211e-08,0.10211027413606644
layer4.0.bn2.bias,-0.041493140161037445,0.15688638389110565,4.4403248466551304e-05,0.0,3.6228448152542114e-07,0.15688638389110565
layer4.0.downsample.1.bias,-0.041493140161037445,0.15688638389110565,4.4403248466551304e-05,0.0,3.6228448152542114e-07,0.15688638389110565
layer4.1.bn1.bias,-0.020546240732073784,0.004296842031180859,0.0003040804003830999,0.0,1.6763806343078613e-08,0.020546240732073784
layer4.1.bn2.bias,-0.08826944977045059,0.018235309049487114,0.00030160113237798214,0.0,4.041939973831177e-07,0.08826944977045059
fc.bias,-0.22163733839988708,0.30461758375167847,0.023247525095939636,0.0,0.002573467791080475,0.30461758375167847
