layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-0.041640352457761765,0.022346695885062218,1.8717400962486863e-08,6.25,5.820766091346741e-11,0.041640352457761765
bn1.weight,-0.038520924746990204,0.0499577671289444,2.695553848752752e-05,6.25,1.5730038285255432e-05,0.0499577671289444
bn1.bias,-0.022613581269979477,0.03527996316552162,6.245333497645333e-05,6.25,1.607462763786316e-06,0.03527996316552162
layer1.0.conv1.weight,-0.009083324111998081,0.007085925899446011,8.41586711430864e-09,6.25,1.6484591469634324e-12,0.009083324111998081
layer1.0.bn1.weight,-0.014671709388494492,0.015958260744810104,9.18298028409481e-05,0.0,6.328336894512177e-07,0.015958260744810104
layer1.0.bn1.bias,-0.010081063024699688,0.015962932258844376,9.979965398088098e-05,0.0,6.42961822450161e-06,0.015962932258844376
layer1.0.conv2.weight,-0.0096295066177845,0.010712942108511925,9.019004210131243e-09,0.0,4.547473508864641e-13,0.010712942108511925
layer1.0.bn2.weight,-0.0698714405298233,0.055795490741729736,0.0005266317166388035,0.0,5.712732672691345e-06,0.0698714405298233
layer1.0.bn2.bias,-0.02430480346083641,0.026021316647529602,0.00021055713295936584,0.0,1.4033401384949684e-05,0.026021316647529602
layer1.1.conv1.weight,-0.011094827204942703,0.01081734150648117,1.609805622138083e-08,0.0,3.637978807091713e-12,0.011094827204942703
layer1.1.bn1.weight,-0.018542125821113586,0.01649702526628971,0.00021770759485661983,0.0,5.4747797548770905e-06,0.018542125821113586
layer1.1.bn1.bias,-0.016348736360669136,0.01342413853853941,0.0001284908503293991,0.0,5.5355485528707504e-06,0.016348736360669136
layer1.1.conv2.weight,-0.012612971477210522,0.011868182569742203,6.83940015733242e-09,0.0,1.4551915228366852e-11,0.012612971477210522
layer1.1.bn2.weight,-0.03477891907095909,0.024311725050210953,0.00016275979578495026,0.0,4.4209882616996765e-06,0.03477891907095909
layer1.1.bn2.bias,-0.02422538958489895,0.021037064492702484,0.00016586948186159134,0.0,8.824281394481659e-06,0.02422538958489895
layer2.0.conv1.weight,-0.019907154142856598,0.03305616229772568,1.2791133485734463e-08,0.0,1.4551915228366852e-11,0.03305616229772568
layer2.0.bn1.weight,-0.07212706655263901,0.04400593414902687,6.930646486580372e-05,0.0,1.446576789021492e-06,0.07212706655263901
layer2.0.bn1.bias,-0.03949137032032013,0.03351829946041107,0.0003191092982888222,0.0,1.8568243831396103e-06,0.03949137032032013
layer2.0.conv2.weight,-0.030888253822922707,0.016041334718465805,9.74978320300579e-09,0.0,7.275957614183426e-12,0.030888253822922707
layer2.0.bn2.weight,-0.035583458840847015,0.04158082604408264,1.2192642316222191e-05,0.0,1.8295831978321075e-06,0.04158082604408264
layer2.0.bn2.bias,-0.021764598786830902,0.02956574782729149,0.00020083715207874775,0.0,1.7802231013774872e-06,0.02956574782729149
layer2.0.downsample.0.weight,-0.03892682492733002,0.027446206659078598,1.4568286132998765e-08,0.0,1.6007106751203537e-10,0.03892682492733002
layer2.0.downsample.1.weight,-0.0374004989862442,0.04686262458562851,0.00041338871233165264,0.0,3.693625330924988e-06,0.04686262458562851
layer2.0.downsample.1.bias,-0.021764598786830902,0.02956574782729149,0.00020083715207874775,0.0,1.7802231013774872e-06,0.02956574782729149
layer2.1.conv1.weight,-0.01631188578903675,0.015590770170092583,2.8230715543031693e-09,0.0,1.8189894035458565e-12,0.01631188578903675
layer2.1.bn1.weight,-0.02502140775322914,0.03356537967920303,1.24308280646801e-05,0.0,1.937616616487503e-06,0.03356537967920303
layer2.1.bn1.bias,-0.016955357044935226,0.02208549901843071,6.978563033044338e-05,0.0,1.5874393284320831e-06,0.02208549901843071
layer2.1.conv2.weight,-0.022194985300302505,0.02310360223054886,1.178705133497715e-09,0.0,2.2737367544323206e-13,0.02310360223054886
layer2.1.bn2.weight,-0.034848783165216446,0.04378058761358261,0.00011730892583727837,0.0,3.5529956221580505e-07,0.04378058761358261
layer2.1.bn2.bias,-0.023547889664769173,0.02505236119031906,0.0001465978566557169,0.0,4.827976226806641e-06,0.02505236119031906
layer3.0.conv1.weight,-0.03126976639032364,0.028510399162769318,1.520675141364336e-09,0.0,1.3642420526593924e-12,0.03126976639032364
layer3.0.bn1.weight,-0.05071902647614479,0.050099242478609085,5.611334927380085e-06,0.0,1.0477378964424133e-07,0.05071902647614479
layer3.0.bn1.bias,-0.03370323032140732,0.031008388847112656,4.3153995648026466e-05,0.0,1.8673017621040344e-07,0.03370323032140732
layer3.0.conv2.weight,-0.018783878535032272,0.021449582651257515,1.255102688446641e-10,0.0,2.2737367544323206e-13,0.021449582651257515
layer3.0.bn2.weight,-0.029395509511232376,0.03628319874405861,3.322400152683258e-05,0.0,4.5227352529764175e-08,0.03628319874405861
layer3.0.bn2.bias,-0.01445087417960167,0.02118522673845291,2.2350606741383672e-05,0.0,7.140915840864182e-07,0.02118522673845291
