layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1,-1.9894737005233765,2.12648868560791,0.0006281130481511354,0.0,5.5283308029174805e-06,2.12648868560791
bn1,-23.836904525756836,18.510942459106445,1.2794695976481307e-05,0.0,2.9802322387695312e-08,23.836904525756836
relu,0.0,5.804922103881836,2.2470951080322266e-05,55.97666666666667,1.4901161193847656e-08,5.804922103881836
maxpool,0.0,6.07125997543335,6.182119250297546e-06,55.626666666666665,7.450580596923828e-09,6.07125997543335
layer1.0.conv1,0.0,9.916597366333008,1.1898577213287354e-05,31.003333333333334,3.725290298461914e-09,9.916597366333008
layer1.0.bn1,-11.98157787322998,11.960480690002441,0.00024509429931640625,0.0,7.450580596923828e-09,11.98157787322998
layer1.0.relu,0.0,8.07246208190918,9.03010368347168e-06,25.840000000000003,1.4901161193847656e-08,8.07246208190918
layer1.0.conv2,0.0,1.1833183765411377,2.4534761905670166e-05,59.306666666666665,7.450580596923828e-09,1.1833183765411377
layer1.0.bn2,-2.8965249061584473,2.454984426498413,3.2708048820495605e-06,0.0,6.28642737865448e-09,2.8965249061584473
layer1.1.conv1,0.0,7.912195205688477,1.942366361618042e-05,25.869999999999997,3.725290298461914e-09,7.912195205688477
layer1.1.bn1,-15.453195571899414,13.412294387817383,1.2025237083435059e-05,0.0,1.1920928955078125e-07,15.453195571899414
layer1.1.relu,0.0,7.387791633605957,1.4871358871459961e-05,28.46,7.450580596923828e-09,7.387791633605957
layer1.1.conv2,0.0,2.0888569355010986,7.781945168972015e-05,61.32333333333333,9.313225746154785e-10,2.0888569355010986
layer1.1.bn2,-3.690654754638672,2.798570394515991,6.269663572311401e-06,0.0,7.450580596923828e-09,3.690654754638672
layer2.0.conv1,0.0,7.325537204742432,1.4871358871459961e-05,28.623333333333335,1.1175870895385742e-08,7.325537204742432
layer2.0.bn1,-16.015892028808594,8.877684593200684,9.70889741438441e-05,0.0,9.022187441587448e-09,16.015892028808594
layer2.0.relu,0.0,4.62131404876709,4.4055283069610596e-05,64.41,7.450580596923828e-09,4.62131404876709
layer2.0.conv2,0.0,2.532961845397949,6.476044654846191e-05,69.22666666666667,2.9802322387695312e-08,2.532961845397949
layer2.0.bn2,-3.0190858840942383,2.613553524017334,2.6181340217590332e-05,0.0,1.862645149230957e-08,3.0190858840942383
layer2.0.downsample.0,0.0,7.760615348815918,1.5079975128173828e-05,28.76,1.4901161193847656e-08,7.760615348815918
layer2.0.downsample.1,-6.2519001960754395,4.571352958679199,0.00018517315038479865,0.0,4.470348358154297e-08,6.2519001960754395
layer2.1.conv1,0.0,3.4237260818481445,0.00011724978685379028,64.77333333333334,4.470348358154297e-08,3.4237260818481445
layer2.1.bn1,-3.860506772994995,3.3441720008850098,1.3068318367004395e-05,0.0,1.4901161193847656e-08,3.860506772994995
layer2.1.relu,0.0,3.791172981262207,1.7940998077392578e-05,67.25999999999999,2.9802322387695312e-08,3.791172981262207
layer2.1.conv2,0.0,1.6668803691864014,2.454221248626709e-05,79.51,1.4901161193847656e-08,1.6668803691864014
layer2.1.bn2,-1.2968261241912842,0.8971514701843262,7.100403308868408e-06,0.0,1.862645149230957e-09,1.2968261241912842
layer3.0.conv1,0.0,3.323793411254883,3.069639205932617e-06,67.48333333333333,2.9802322387695312e-08,3.323793411254883
layer3.0.bn1,-4.176425933837891,4.2054219245910645,8.19601791590685e-06,0.0,7.450580596923828e-09,4.2054219245910645
layer3.0.relu,0.0,2.471475601196289,3.55839729309082e-05,54.78333333333333,7.450580596923828e-09,2.471475601196289
layer3.0.conv2,0.0,2.2822508811950684,0.00011958181858062744,75.27333333333334,7.450580596923828e-09,2.2822508811950684
layer3.0.bn2,-2.632625102996826,1.7674741744995117,1.1622905731201172e-06,0.0,1.862645149230957e-09,2.632625102996826
layer3.0.downsample.0,0.0,3.846435785293579,6.54757022857666e-05,67.35666666666667,2.9802322387695312e-08,3.846435785293579
layer3.0.downsample.1,-1.541188359260559,1.6836493015289307,1.5706886813404708e-07,0.0,6.984919309616089e-10,1.6836493015289307
layer3.1.conv1,0.0,2.6724395751953125,3.55839729309082e-05,55.17999999999999,1.4901161193847656e-08,2.6724395751953125
layer3.1.bn1,-0.5606658458709717,0.6713029146194458,4.809349775314331e-06,0.0,3.725290298461914e-09,0.6713029146194458
layer3.1.relu,0.0,2.6297829151153564,6.474554538726807e-06,27.78333333333333,9.313225746154785e-10,2.6297829151153564
layer3.1.conv2,0.0,0.3552577495574951,7.107853889465332e-06,58.58,9.313225746154785e-10,0.3552577495574951
layer3.1.bn2,-0.36822620034217834,0.24779397249221802,1.257285475730896e-07,0.0,9.313225746154785e-10,0.36822620034217834
layer4.0.conv1,0.0,2.6845591068267822,6.474554538726807e-06,27.586666666666666,9.313225746154785e-10,2.6845591068267822
layer4.0.bn1,-1.6382403373718262,1.8009727001190186,1.6624955605948344e-05,0.0,3.725290298461914e-09,1.8009727001190186
layer4.0.relu,0.0,2.832775592803955,1.948326826095581e-05,55.93333333333334,7.450580596923828e-09,2.832775592803955
layer4.0.conv2,0.0,0.7566213011741638,1.9399449229240417e-06,48.843333333333334,1.862645149230957e-09,0.7566213011741638
layer4.0.bn2,-0.8743261694908142,1.3369297981262207,2.3527536541223526e-07,0.0,4.656612873077393e-10,1.3369297981262207
layer4.0.downsample.0,0.0,2.618126392364502,1.5117228031158447e-05,27.54666666666667,4.656612873077393e-10,2.618126392364502
layer4.0.downsample.1,-2.0284807682037354,2.170367479324341,5.543988663703203e-06,0.0,2.3283064365386963e-10,2.170367479324341
layer4.1.conv1,0.0,2.832775592803955,3.7513673305511475e-06,56.13666666666667,7.450580596923828e-09,2.832775592803955
layer4.1.bn1,-0.3453536033630371,0.36734676361083984,4.637986421585083e-06,0.0,9.313225746154785e-10,0.36734676361083984
layer4.1.relu,0.0,2.5673820972442627,1.5068799257278442e-06,57.726666666666674,2.7939677238464355e-09,2.5673820972442627
layer4.1.conv2,0.0,0.4236639142036438,4.71062958240509e-06,59.67666666666667,9.313225746154785e-10,0.4236639142036438
layer4.1.bn2,-0.3336668014526367,0.20279273390769958,2.0116567611694336e-07,0.0,5.820766091346741e-11,0.3336668014526367
avgpool,0.0,2.9525017738342285,1.619383692741394e-05,57.92333333333334,1.862645149230957e-09,2.9525017738342285
fc,0.0,2.9525017738342285,1.5068799257278442e-06,57.47666666666667,1.862645149230957e-09,2.9525017738342285
