layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-0.005267024040222168,0.009139180183410645,8.149072527885437e-10,0.0,5.820766091346741e-11,0.009139180183410645
bn1.weight,-0.014685511589050293,0.01092827320098877,7.301568984985352e-07,0.0,7.282942533493042e-07,0.014685511589050293
bn1.bias,-0.00310651957988739,0.004445508122444153,3.688037395477295e-06,0.0,6.221234798431396e-07,0.004445508122444153
layer1.0.conv1.weight,-0.0014288262464106083,0.0013584867119789124,2.3283064365386963e-10,0.0,5.4569682106375694e-12,0.0014288262464106083
layer1.0.bn1.weight,-0.003947913646697998,0.002540767192840576,2.683699131011963e-05,0.0,6.407499313354492e-07,0.003947913646697998
layer1.0.bn1.bias,-0.0016174688935279846,0.0025553256273269653,1.4685094356536865e-05,0.0,2.60770320892334e-08,0.0025553256273269653
layer1.0.conv2.weight,-0.0012180730700492859,0.0018559321761131287,1.3969838619232178e-09,0.0,7.275957614183426e-12,0.0018559321761131287
layer1.0.bn2.weight,-0.006676807999610901,0.007773041725158691,2.980232238769531e-07,0.0,1.5944242477416992e-06,0.007773041725158691
layer1.0.bn2.bias,-0.003714948892593384,0.002636045217514038,3.08845192193985e-05,0.0,9.313225746154785e-09,0.003714948892593384
layer1.1.conv1.weight,-0.0017385035753250122,0.0019063577055931091,2.7939677238464355e-09,0.0,2.9103830456733704e-11,0.0019063577055931091
layer1.1.bn1.weight,-0.006237417459487915,0.00457039475440979,8.337199687957764e-05,0.0,1.1920928955078125e-07,0.006237417459487915
layer1.1.bn1.bias,-0.003981798887252808,0.003421138972043991,3.0621886253356934e-06,0.0,1.2069940567016602e-06,0.003981798887252808
layer1.1.conv2.weight,-0.00238935649394989,0.0020480677485466003,4.6566128730773926e-09,0.002712673611111111,2.9103830456733704e-11,0.00238935649394989
layer1.1.bn2.weight,-0.010709106922149658,0.009046763181686401,1.0967254638671875e-05,0.0,2.980232238769531e-07,0.010709106922149658
layer1.1.bn2.bias,-0.004266142845153809,0.0025070607662200928,6.274878978729248e-05,0.0,7.301568984985352e-07,0.004266142845153809
layer2.0.conv1.weight,-0.004656566306948662,0.0037201568484306335,1.862645149230957e-09,0.0,7.275957614183426e-12,0.004656566306948662
layer2.0.bn1.weight,-0.008664220571517944,0.006523728370666504,3.933906555175781e-05,0.0,1.0132789611816406e-06,0.008664220571517944
layer2.0.bn1.bias,-0.005672760307788849,0.0052017271518707275,2.086162567138672e-06,0.0,2.9802322387695312e-08,0.005672760307788849
