layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1.weight,-1.0289655923843384,0.864453911781311,2.0735205907840282e-05,0.0,1.862645149230957e-09,1.0289655923843384
bn1.weight,0.007373601198196411,1.2750487327575684,0.007373601198196411,0.0,0.00014853477478027344,1.2750487327575684
layer1.0.conv1.weight,-0.2933068573474884,0.15181100368499756,1.5538535080850124e-07,0.0,2.3283064365386963e-10,0.2933068573474884
layer1.0.bn1.weight,0.08626963198184967,0.4683554470539093,0.08626963198184967,0.0,4.5433640480041504e-05,0.4683554470539093
layer1.0.conv2.weight,-0.2103671133518219,0.1822231262922287,2.456508809700608e-07,0.0,2.3283064365386963e-10,0.2103671133518219
layer1.0.bn2.weight,-0.2501881718635559,0.4542282521724701,0.0042992569506168365,0.0,7.446110248565674e-05,0.4542282521724701
layer1.1.conv1.weight,-0.3802288770675659,0.3357628881931305,3.698041837196797e-07,0.0,1.3096723705530167e-10,0.3802288770675659
layer1.1.bn1.weight,0.14259390532970428,0.6151822209358215,0.14259390532970428,0.0,8.478760719299316e-05,0.6151822209358215
layer1.1.conv2.weight,-0.26732689142227173,0.20972712337970734,2.5617591745685786e-06,0.0,2.3283064365386963e-10,0.26732689142227173
layer1.1.bn2.weight,-0.10083756595849991,0.3976208567619324,0.038225915282964706,0.0,0.00010466575622558594,0.3976208567619324
layer2.0.conv1.weight,-0.3797297477722168,0.4856701195240021,9.487848728895187e-09,0.0,5.820766091346741e-11,0.4856701195240021
layer2.0.bn1.weight,0.1699715405702591,0.7055888175964355,0.1699715405702591,0.0,1.6808509826660156e-05,0.7055888175964355
layer2.0.conv2.weight,-0.2640253007411957,0.3754797875881195,2.735760062932968e-09,0.0,2.3283064365386963e-10,0.3754797875881195
layer2.0.bn2.weight,0.12035151571035385,0.7430018186569214,0.12035151571035385,0.0,9.417533874511719e-06,0.7430018186569214
layer2.0.downsample.0.weight,-0.49431610107421875,0.5181471109390259,3.042677417397499e-05,0.0,6.05359673500061e-09,0.5181471109390259
layer2.0.downsample.1.weight,0.0751713365316391,0.8928140997886658,0.0751713365316391,0.0,8.285045623779297e-06,0.8928140997886658
layer2.1.conv1.weight,-0.19519203901290894,0.25111058354377747,1.4422403182834387e-07,0.0,4.3655745685100555e-11,0.25111058354377747
layer2.1.bn1.weight,0.06416599452495575,0.4924207627773285,0.06416599452495575,0.0,3.933906555175781e-06,0.4924207627773285
layer2.1.conv2.weight,-0.17810192704200745,0.21075618267059326,1.5209661796689034e-07,0.0,5.820766091346741e-11,0.21075618267059326
layer2.1.bn2.weight,-0.005268019624054432,0.3598751723766327,0.0007749306969344616,0.0,3.838539123535156e-05,0.3598751723766327
layer3.0.conv1.weight,-0.21625447273254395,0.2980360686779022,4.515095497481525e-07,0.0,2.9103830456733704e-11,0.2980360686779022
layer3.0.bn1.weight,0.14478206634521484,0.5475171208381653,0.14478206634521484,0.0,9.238719940185547e-07,0.5475171208381653
layer3.0.conv2.weight,-0.23301085829734802,0.24294042587280273,3.788954927586019e-09,0.0,1.8189894035458565e-12,0.24294042587280273
layer3.0.bn2.weight,0.05467333644628525,0.4378195106983185,0.05467333644628525,0.0,3.0100345611572266e-06,0.4378195106983185
layer3.0.downsample.0.weight,-0.19196869432926178,0.2259322702884674,1.9489089027047157e-06,0.0,6.184563972055912e-10,0.2259322702884674
layer3.0.downsample.1.weight,-0.023492129519581795,0.43021339178085327,0.0016750951763242483,0.0,2.637505531311035e-06,0.43021339178085327
layer3.1.conv1.weight,-0.02532784640789032,0.028209716081619263,1.3777025742456317e-08,0.0,3.637978807091713e-12,0.028209716081619263
layer3.1.bn1.weight,0.02913682907819748,0.07233910262584686,0.02913682907819748,0.0,8.493661880493164e-07,0.07233910262584686
layer3.1.conv2.weight,-0.02412552572786808,0.02835744619369507,3.5324774216860533e-09,0.0,1.1368683772161603e-12,0.02835744619369507
layer3.1.bn2.weight,-0.0260405782610178,0.12029268592596054,0.0001884907833300531,0.0,1.4649704098701477e-06,0.12029268592596054
layer4.0.conv1.weight,-0.09556492418050766,0.12001387029886246,6.440958433273636e-09,0.0,9.094947017729282e-13,0.12001387029886246
layer4.0.bn1.weight,0.024039017036557198,0.2533392310142517,0.024039017036557198,0.0,9.685754776000977e-08,0.2533392310142517
layer4.0.conv2.weight,-0.09354953467845917,0.18456816673278809,1.3274600307866535e-09,0.0,3.410605131648481e-13,0.18456816673278809
layer4.0.bn2.weight,0.016136905178427696,0.5268828868865967,0.016136905178427696,0.0,4.023313522338867e-07,0.5268828868865967
layer4.0.downsample.0.weight,-0.1949937790632248,0.26994773745536804,5.488618626259267e-08,0.0,1.4551915228366852e-11,0.26994773745536804
layer4.0.downsample.1.weight,-0.002604238921776414,0.5947908759117126,0.002604238921776414,0.0,1.3634562492370605e-06,0.5947908759117126
layer4.1.conv1.weight,-0.018810542300343513,0.02281130850315094,1.4856808838725755e-10,8.477105034722222e-05,1.1368683772161603e-13,0.02281130850315094
layer4.1.bn1.weight,0.03714507818222046,0.08115090429782867,0.03714507818222046,0.0,3.725290298461914e-09,0.08115090429782867
layer4.1.conv2.weight,-0.016525741666555405,0.024145036935806274,4.111916918070335e-10,0.0,4.547473508864641e-13,0.024145036935806274
layer4.1.bn2.weight,-0.042287878692150116,0.08306373655796051,9.75934526650235e-05,0.0,1.8009450286626816e-07,0.08306373655796051
fc.weight,-0.3902992308139801,0.5684444904327393,2.0681036403402686e-06,0.0,2.60770320892334e-08,0.5684444904327393
